Year,Series,COMPOSITE_BREAKDOWN,Value
2015,_L_KG_150301_1B,,1280570
2016,_L_KG_150301_1B,,1280570
2017,_L_KG_150301_1B,,1287859
2018,_L_KG_150301_1B,,1287810
2019,_L_KG_150301_1B,,1287584
2015,_L_KG_150301_1A,,89985
2016,_L_KG_150301_1A,,81920
2017,_L_KG_150301_1A,,74796
2018,_L_KG_150301_1A,,67337
2019,_L_KG_150301_1A,,63332
2015,_L_KG_150301_1A,Причина неиспользования: Засоление и заболоченность,4958
2016,_L_KG_150301_1A,Причина неиспользования: Засоление и заболоченность,3840
2017,_L_KG_150301_1A,Причина неиспользования: Засоление и заболоченность,3288
2018,_L_KG_150301_1A,Причина неиспользования: Засоление и заболоченность,3103
2019,_L_KG_150301_1A,Причина неиспользования: Засоление и заболоченность,2792
2015,_L_KG_150301_1A,Причина неиспользования: Отсутствие полива из-за неисправности оросительной сети,13756
2016,_L_KG_150301_1A,Причина неиспользования: Отсутствие полива из-за неисправности оросительной сети,14039
2017,_L_KG_150301_1A,Причина неиспользования: Отсутствие полива из-за неисправности оросительной сети,11954
2018,_L_KG_150301_1A,Причина неиспользования: Отсутствие полива из-за неисправности оросительной сети,11774
2019,_L_KG_150301_1A,Причина неиспользования: Отсутствие полива из-за неисправности оросительной сети,11105
2015,_L_KG_150301_1A,"Причина неиспользования: Подвержена стихийным бедствиям (оползни, сели)",394
2016,_L_KG_150301_1A,"Причина неиспользования: Подвержена стихийным бедствиям (оползни, сели)",352
2017,_L_KG_150301_1A,"Причина неиспользования: Подвержена стихийным бедствиям (оползни, сели)",1035
2018,_L_KG_150301_1A,"Причина неиспользования: Подвержена стихийным бедствиям (оползни, сели)",1539
2019,_L_KG_150301_1A,"Причина неиспользования: Подвержена стихийным бедствиям (оползни, сели)",512
