Year,Reference area,GeoCode,Value
2007,,,98.436866
2008,,,98.483992
2009,,,98.495642
2010,,,98.309687
2011,,,98.622407
2012,,,98.838817
2013,,,98.985022
2014,,,99.176724
2015,,,99.230049
2016,,,99.185581
2017,,,99.3
2018,,,99.3
2019,,,99.348833
2020,,,99.3
2021,,,99.4
2007,Batken,KG05,97.74409
2008,Batken,KG05,97.474925
2009,Batken,KG05,98.874508
2010,Batken,KG05,96.861772
2011,Batken,KG05,97.13801
2012,Batken,KG05,98.465778
2013,Batken,KG05,99.080933
2014,Batken,KG05,99.356181
2015,Batken,KG05,99.261631
2016,Batken,KG05,98.979592
2017,Batken,KG05,99.2
2018,Batken,KG05,99.4
2019,Batken,KG05,99.335614
2020,Batken,KG05,99.371421
2021,Batken,KG05,98.1
2007,Jalal-Abad,KG03,98.959241
2008,Jalal-Abad,KG03,98.575021
2009,Jalal-Abad,KG03,98.923445
2010,Jalal-Abad,KG03,98.940709
2011,Jalal-Abad,KG03,99.115744
2012,Jalal-Abad,KG03,99.045346
2013,Jalal-Abad,KG03,99.080837
2014,Jalal-Abad,KG03,99.16137
2015,Jalal-Abad,KG03,99.299119
2016,Jalal-Abad,KG03,99.265036
2017,Jalal-Abad,KG03,99.4
2018,Jalal-Abad,KG03,99.4
2019,Jalal-Abad,KG03,99.331319
2020,Jalal-Abad,KG03,99.319469
2021,Jalal-Abad,KG03,99.319469
2007,Issyk-Kul,KG02,99.294245
2008,Issyk-Kul,KG02,99.008513
2009,Issyk-Kul,KG02,99.274602
2010,Issyk-Kul,KG02,99.414531
2011,Issyk-Kul,KG02,99.463221
2012,Issyk-Kul,KG02,99.435996
2013,Issyk-Kul,KG02,99.427262
2014,Issyk-Kul,KG02,99.451005
2015,Issyk-Kul,KG02,99.391542
2016,Issyk-Kul,KG02,99.422551
2017,Issyk-Kul,KG02,99.5
2018,Issyk-Kul,KG02,99.5
2019,Issyk-Kul,KG02,99.485976
2020,Issyk-Kul,KG02,99.442213
2021,Issyk-Kul,KG02,99.442213
2007,Naryn,KG04,97.720601
2008,Naryn,KG04,98.116039
2009,Naryn,KG04,98.275296
2010,Naryn,KG04,97.822417
2011,Naryn,KG04,98.680426
2012,Naryn,KG04,98.696845
2013,Naryn,KG04,98.717291
2014,Naryn,KG04,98.817416
2015,Naryn,KG04,98.774112
2016,Naryn,KG04,98.787433
2017,Naryn,KG04,99.0
2018,Naryn,KG04,99.2
2019,Naryn,KG04,99.123344
2020,Naryn,KG04,98.766882
2021,Naryn,KG04,99.1
2007,Osh,KG06,96.877363
2008,Osh,KG06,97.394325
2009,Osh,KG06,96.451545
2010,Osh,KG06,96.52909
2011,Osh,KG06,97.299639
2012,Osh,KG06,97.817694
2013,Osh,KG06,98.222659
2014,Osh,KG06,98.874035
2015,Osh,KG06,99.087129
2016,Osh,KG06,99.070282
2017,Osh,KG06,99.1
2018,Osh,KG06,99.1
2019,Osh,KG06,99.216847
2020,Osh,KG06,99.212798
2021,Osh,KG06,99.3
2007,Talas,KG07,99.285714
2008,Talas,KG07,99.252883
2009,Talas,KG07,99.270189
2010,Talas,KG07,99.485821
2011,Talas,KG07,99.688576
2012,Talas,KG07,99.660672
2013,Talas,KG07,99.694501
2014,Talas,KG07,99.680296
2015,Talas,KG07,99.729775
2016,Talas,KG07,99.713877
2017,Talas,KG07,99.5
2018,Talas,KG07,99.7
2019,Talas,KG07,99.610751
2020,Talas,KG07,99.79916
2021,Talas,KG07,99.79916
2007,Chui,KG08,99.023641
2008,Chui,KG08,99.18247
2009,Chui,KG08,99.161879
2010,Chui,KG08,99.199707
2011,Chui,KG08,99.107284
2012,Chui,KG08,99.152542
2013,Chui,KG08,99.134263
2014,Chui,KG08,99.23354
2015,Chui,KG08,99.163311
2016,Chui,KG08,99.176269
2017,Chui,KG08,99.2
2018,Chui,KG08,99.2
2019,Chui,KG08,99.366992
2020,Chui,KG08,99.146992
2021,Chui,KG08,99.3
2007,Bishkek (city),KG11,99.435435
2008,Bishkek (city),KG11,99.586624
2009,Bishkek (city),KG11,99.621193
2010,Bishkek (city),KG11,99.598067
2011,Bishkek (city),KG11,99.46062
2012,Bishkek (city),KG11,99.614421
2013,Bishkek (city),KG11,99.611183
2014,Bishkek (city),KG11,99.609444
2015,Bishkek (city),KG11,99.494367
2016,Bishkek (city),KG11,99.479551
2017,Bishkek (city),KG11,99.5
2018,Bishkek (city),KG11,99.6
2019,Bishkek (city),KG11,99.478079
2020,Bishkek (city),KG11,99.53837
2021,Bishkek (city),KG11,99.53837
2007,Osh (city),KG21,98.916283
2008,Osh (city),KG21,98.982971
2009,Osh (city),KG21,98.918685
2010,Osh (city),KG21,97.390903
2011,Osh (city),KG21,99.342208
2012,Osh (city),KG21,98.973247
2013,Osh (city),KG21,99.300699
2014,Osh (city),KG21,99.388163
2015,Osh (city),KG21,99.258076
2016,Osh (city),KG21,99.319952
2017,Osh (city),KG21,99.5
2018,Osh (city),KG21,99.7
2019,Osh (city),KG21,99.537118
2020,Osh (city),KG21,99.765564
2021,Osh (city),KG21,99.765564
