Year,Observation-level footnotes,Value
2010,,1.5
2011,,1.9
2012,,1.9
2013,,1.9
2014,,1.9
2015,,1.9
2016,,0.9
2017,,0.9
2018,,1.1
2019,,0.6
2020,,1.0
2021,* Предварительные данные,1.4
