Year,Reference area,GeoCode,Value
2007,,,0.102468
2008,,,0.657422
2009,,,0.037073
2010,,,0.234561
2011,,,0.328649
2012,,,0.297902
2013,,,0.062089
2014,,,0.113728
2015,,,0.532092
2016,,,0.21124
2017,,,0.193675
2018,,,0.21
2019,,,0.052302
2020,,,0.044166
2007,Batken,KG05,0.358951
2008,Batken,KG05,2.126272
2009,Batken,KG05,0.403899
2010,Batken,KG05,0.333138
2011,Batken,KG05,4.307812
2012,Batken,KG05,1.956574
2013,Batken,KG05,0.02969
2014,Batken,KG05,0.25113
2015,Batken,KG05,3.438047
2016,Batken,KG05,2.2105
2017,Batken,KG05,0.753563
2018,Batken,KG05,1.04
2019,Batken,KG05,0.113897
2020,Batken,KG05,0.361854
2007,Jalal-Abad,KG03,0.412118
2008,Jalal-Abad,KG03,0.136994
2009,Jalal-Abad,KG03,0.015857
2010,Jalal-Abad,KG03,1.154719
2011,Jalal-Abad,KG03,0.453264
2012,Jalal-Abad,KG03,1.016425
2013,Jalal-Abad,KG03,0.101309
2014,Jalal-Abad,KG03,0.072479
2015,Jalal-Abad,KG03,0.172868
2016,Jalal-Abad,KG03,0.441517
2017,Jalal-Abad,KG03,0.196222
2018,Jalal-Abad,KG03,0.11
2019,Jalal-Abad,KG03,0.23463
2020,Jalal-Abad,KG03,0.274087
2007,Issyk-Kul,KG02,0.003239
2008,Issyk-Kul,KG02,0.003293
2009,Issyk-Kul,KG02,0.034457
2010,Issyk-Kul,KG02,0.001692
2011,Issyk-Kul,KG02,0.012271
2012,Issyk-Kul,KG02,0.112102
2013,Issyk-Kul,KG02,0.148306
2014,Issyk-Kul,KG02,0.685858
2015,Issyk-Kul,KG02,0.015296
2016,Issyk-Kul,KG02,0.169567
2017,Issyk-Kul,KG02,0.130728
2018,Issyk-Kul,KG02,0.11
2019,Issyk-Kul,KG02,0.013155
2020,Issyk-Kul,KG02,0.000467
2007,Naryn,KG04,0.009569
2008,Naryn,KG04,0.035207
2009,Naryn,KG04,0.008456
2010,Naryn,KG04,1.65095
2011,Naryn,KG04,1.592461
2012,Naryn,KG04,1.562362
2013,Naryn,KG04,0.741692
2014,Naryn,KG04,0.037976
2015,Naryn,KG04,0.214395
2016,Naryn,KG04,0.157299
2017,Naryn,KG04,0.091702
2018,Naryn,KG04,0.01
2020,Naryn,KG04,0.086033
2007,Osh,KG06,0.042933
2008,Osh,KG06,5.639406
2009,Osh,KG06,0.057255
2010,Osh,KG06,0.198522
2011,Osh,KG06,0.369869
2012,Osh,KG06,0.17834
2013,Osh,KG06,0.010609
2014,Osh,KG06,0.00357
2015,Osh,KG06,4.302561
2016,Osh,KG06,0.049422
2017,Osh,KG06,0.702855
2018,Osh,KG06,0.03
2019,Osh,KG06,0.005898
2007,Talas,KG07,0.210978
2008,Talas,KG07,0.051951
2009,Talas,KG07,0.405354
2010,Talas,KG07,0.29974
2011,Talas,KG07,0.045177
2012,Talas,KG07,0.518047
2013,Talas,KG07,0.05949
2014,Talas,KG07,0.008098
2015,Talas,KG07,0.061365
2016,Talas,KG07,0.517318
2017,Talas,KG07,0.092032
2018,Talas,KG07,0.0
2007,Chui,KG08,0.035582
2010,Chui,KG08,0.005701
2011,Chui,KG08,0.01326
2012,Chui,KG08,0.004035
2013,Chui,KG08,0.029168
2014,Chui,KG08,0.033948
2015,Chui,KG08,0.033197
2016,Chui,KG08,0.118862
2017,Chui,KG08,0.234678
2018,Chui,KG08,0.01
2019,Chui,KG08,0.00233
2020,Chui,KG08,1.2e-05
2007,Bishkek (city),KG11,0.063779
2008,Bishkek (city),KG11,0.060758
2013,Bishkek (city),KG11,0.00051
2015,Bishkek (city),KG11,0.028178
2016,Bishkek (city),KG11,0.047988
2017,Bishkek (city),KG11,0.006461
2018,Bishkek (city),KG11,0.37
2019,Bishkek (city),KG11,0.046929
2007,Osh (city),KG21,0.01574
2008,Osh (city),KG21,0.003371
2012,Osh (city),KG21,0.006958
2013,Osh (city),KG21,0.034602
2015,Osh (city),KG21,0.61872
2016,Osh (city),KG21,0.001192
2017,Osh (city),KG21,0.202023
2019,Osh (city),KG21,0.001168
