Year,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2010,Passenger volume (passenger kilometres),Mode of Transport: Taxi,Passenger kilometres,298.6
2011,Passenger volume (passenger kilometres),Mode of Transport: Taxi,Passenger kilometres,356.2
2012,Passenger volume (passenger kilometres),Mode of Transport: Taxi,Passenger kilometres,397.2
2013,Passenger volume (passenger kilometres),Mode of Transport: Taxi,Passenger kilometres,427.7
2014,Passenger volume (passenger kilometres),Mode of Transport: Taxi,Passenger kilometres,471.4
2015,Passenger volume (passenger kilometres),Mode of Transport: Taxi,Passenger kilometres,499.6
2016,Passenger volume (passenger kilometres),Mode of Transport: Taxi,Passenger kilometres,546.0
2017,Passenger volume (passenger kilometres),Mode of Transport: Taxi,Passenger kilometres,569.1
2018,Passenger volume (passenger kilometres),Mode of Transport: Taxi,Passenger kilometres,642.4
2019,Passenger volume (passenger kilometres),Mode of Transport: Taxi,Passenger kilometres,752.0
2020,Passenger volume (passenger kilometres),Mode of Transport: Taxi,Passenger kilometres,712.2
2021,Passenger volume (passenger kilometres),Mode of Transport: Taxi,Passenger kilometres,787.0
2022,Passenger volume (passenger kilometres),Mode of Transport: Taxi,Passenger kilometres,844.2
2023,Passenger volume (passenger kilometres),Mode of Transport: Taxi,Passenger kilometres,1060.7
2024,Passenger volume (passenger kilometres),Mode of Transport: Taxi,Passenger kilometres,1223.7
2007,Passenger volume (passenger kilometres),Mode of Transport: Air,Passenger kilometres,509.3
2008,Passenger volume (passenger kilometres),Mode of Transport: Air,Passenger kilometres,635.3
2009,Passenger volume (passenger kilometres),Mode of Transport: Air,Passenger kilometres,571.9
2010,Passenger volume (passenger kilometres),Mode of Transport: Air,Passenger kilometres,814.2
2011,Passenger volume (passenger kilometres),Mode of Transport: Air,Passenger kilometres,1400.4
2012,Passenger volume (passenger kilometres),Mode of Transport: Air,Passenger kilometres,1601.6
2013,Passenger volume (passenger kilometres),Mode of Transport: Air,Passenger kilometres,2099.4
2014,Passenger volume (passenger kilometres),Mode of Transport: Air,Passenger kilometres,2180.0
2015,Passenger volume (passenger kilometres),Mode of Transport: Air,Passenger kilometres,1966.1
2016,Passenger volume (passenger kilometres),Mode of Transport: Air,Passenger kilometres,1801.4
2017,Passenger volume (passenger kilometres),Mode of Transport: Air,Passenger kilometres,2615.2
2018,Passenger volume (passenger kilometres),Mode of Transport: Air,Passenger kilometres,2396.1
2019,Passenger volume (passenger kilometres),Mode of Transport: Air,Passenger kilometres,1707.0
2020,Passenger volume (passenger kilometres),Mode of Transport: Air,Passenger kilometres,537.7
2021,Passenger volume (passenger kilometres),Mode of Transport: Air,Passenger kilometres,1090.0
2022,Passenger volume (passenger kilometres),Mode of Transport: Air,Passenger kilometres,2073.5
2023,Passenger volume (passenger kilometres),Mode of Transport: Air,Passenger kilometres,2126.7
2024,Passenger volume (passenger kilometres),Mode of Transport: Air,Passenger kilometres,1975.2
2007,Freight volume (tonne kilometres),,Tonne kilometres,2021.6
2008,Freight volume (tonne kilometres),,Tonne kilometres,2338.3
2009,Freight volume (tonne kilometres),,Tonne kilometres,2140.7
