Year,Series,Reference area,Units,Value
2018,Water loss at transportation (volume),Bishkek (city),Million of cubic metres per annum,25.3
2019,Water loss at transportation (volume),Bishkek (city),Million of cubic metres per annum,25.8
2017,Water loss at transportation (volume),Osh (city),Million of cubic metres per annum,6.8
2018,Water loss at transportation (volume),Osh (city),Million of cubic metres per annum,6.8
2019,Water loss at transportation (volume),Osh (city),Million of cubic metres per annum,6.8
2010,Water loss at transportation as proportion of total water withdrawal,,Percent,23.4
2011,Water loss at transportation as proportion of total water withdrawal,,Percent,21.7
2012,Water loss at transportation as proportion of total water withdrawal,,Percent,21.7
2013,Water loss at transportation as proportion of total water withdrawal,,Percent,22.5
2014,Water loss at transportation as proportion of total water withdrawal,,Percent,26.5
2015,Water loss at transportation as proportion of total water withdrawal,,Percent,27.6
2016,Water loss at transportation as proportion of total water withdrawal,,Percent,25.1
2017,Water loss at transportation as proportion of total water withdrawal,,Percent,27.8
2018,Water loss at transportation as proportion of total water withdrawal,,Percent,26.9
2019,Water loss at transportation as proportion of total water withdrawal,,Percent,27.8
2010,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,20.1
2011,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,20.2
2012,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,9.6
2013,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,9.6
2014,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,0.7
2015,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,17.8
2016,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,17.7
2017,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,16.7
2018,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,15.6
2019,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,15.8
2010,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,27.3
2011,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,18.3
2012,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,63.0
2013,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,63.0
2014,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,44.8
2015,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,21.1
2016,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,21.1
2017,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,22.9
2018,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,20.1
2019,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,25.1
2010,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,29.7
2011,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,17.1
2012,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,18.8
