Year,Units,Value
2007,Number,114961
2008,Number,120274
2009,Number,124751
2010,Number,133398
2011,Number,142897
2012,Number,150206
2013,Number,162967
2014,Number,168679
2015,Number,174693
2016,Number,178944
2017,Number,183330
2018,Number,187313
2007,Percent,22
2008,Percent,23
2009,Percent,23
2010,Percent,25
2011,Percent,26
2012,Percent,27
2013,Percent,28
2014,Percent,29
2015,Percent,29
2016,Percent,29
2017,Percent,29
2018,Percent,29
