Year,SERIES,Value
2018,Proportion of agricultural crop area fertilized with mineral fertilizers,36.4
2019,Proportion of agricultural crop area fertilized with mineral fertilizers,35.4
2020,Proportion of agricultural crop area fertilized with mineral fertilizers,35.9
2021,Proportion of agricultural crop area fertilized with mineral fertilizers,35.6
2022,Proportion of agricultural crop area fertilized with mineral fertilizers,36.8
2023,Proportion of agricultural crop area fertilized with mineral fertilizers,35.5
2018,Proportion of agricultural crop area fertilized with organic fertilizers,2.5
2019,Proportion of agricultural crop area fertilized with organic fertilizers,2.5
2020,Proportion of agricultural crop area fertilized with organic fertilizers,2.2
2021,Proportion of agricultural crop area fertilized with organic fertilizers,2.5
2022,Proportion of agricultural crop area fertilized with organic fertilizers,2.7
2023,Proportion of agricultural crop area fertilized with organic fertilizers,2.5
