Year,Reference area,Value
2007,,0.018437000000000002
2008,,0.003428
2009,,0.000743
2010,,0.000367
2011,,0.007979
2012,,0.000535
2013,,0.000699
2015,,0.000168
2016,,0.000987
2017,,0.000323
2018,,0.00015800000000000002
2007,Batken,0.051815999999999994
2008,Batken,0.004667
2009,Batken,0.0069689999999999995
2007,Jalal-Abad,0.006141
2008,Jalal-Abad,0.001013
2009,Jalal-Abad,0.000985
2010,Jalal-Abad,0.0019420000000000001
2007,Issyk-Kul,0.0
2008,Issyk-Kul,0.0
2012,Issyk-Kul,0.002219
2007,Naryn,0.003714
2008,Naryn,0.0036950000000000004
2008,Osh,0.0
2011,Osh,0.000878
2007,Talas,0.0
2008,Talas,0.0
2007,Chui,0.031648
2008,Chui,0.005255
2012,Chui,0.001204
2016,Chui,0.001116
2017,Chui,0.0
2018,Chui,0.001074
2007,Bishkek (city),0.051835
2008,Bishkek (city),0.012209999999999999
2011,Bishkek (city),0.047285
2012,Bishkek (city),0.001131
2013,Bishkek (city),0.004419
2015,Bishkek (city),0.0010550000000000002
2016,Bishkek (city),0.003095
2017,Bishkek (city),0.002018
2007,Osh (city),0.004004
2008,Osh (city),0.0
2016,Osh (city),0.0071730000000000006
2017,Osh (city),0.0
