Year,Series,Reference area,Sex,Value
2012,SL_EMP_INJUR,Jalal-Abad,Female,5.598477
2013,SL_EMP_INJUR,Jalal-Abad,Female,2.833263
2014,SL_EMP_INJUR,Jalal-Abad,Female,5.61782
2015,SL_EMP_INJUR,Jalal-Abad,Female,2.531197
2016,SL_EMP_INJUR,Jalal-Abad,Female,10.194459
2017,SL_EMP_INJUR,Jalal-Abad,Female,2.431907
2018,SL_EMP_INJUR,Jalal-Abad,Female,10.021295
2019,SL_EMP_INJUR,Jalal-Abad,Female,12.497813
2007,SL_EMP_INJUR,Jalal-Abad,Male,107.999691
2008,SL_EMP_INJUR,Jalal-Abad,Male,69.552022
2009,SL_EMP_INJUR,Jalal-Abad,Male,91.481651
2010,SL_EMP_INJUR,Jalal-Abad,Male,82.904418
2011,SL_EMP_INJUR,Jalal-Abad,Male,75.539074
2012,SL_EMP_INJUR,Jalal-Abad,Male,64.422066
2013,SL_EMP_INJUR,Jalal-Abad,Male,76.931147
2014,SL_EMP_INJUR,Jalal-Abad,Male,42.560157
2015,SL_EMP_INJUR,Jalal-Abad,Male,43.027937
2016,SL_EMP_INJUR,Jalal-Abad,Male,46.269163
2017,SL_EMP_INJUR,Jalal-Abad,Male,29.022521
2018,SL_EMP_INJUR,Jalal-Abad,Male,86.089589
2019,SL_EMP_INJUR,Jalal-Abad,Male,16.286203
2007,SL_EMP_INJUR,Issyk-Kul,,21.018891
2008,SL_EMP_INJUR,Issyk-Kul,,31.755273
2009,SL_EMP_INJUR,Issyk-Kul,,19.005213
2010,SL_EMP_INJUR,Issyk-Kul,,67.94721
2011,SL_EMP_INJUR,Issyk-Kul,,31.154266
2012,SL_EMP_INJUR,Issyk-Kul,,24.58479
2013,SL_EMP_INJUR,Issyk-Kul,,44.681578
2014,SL_EMP_INJUR,Issyk-Kul,,29.214916
2015,SL_EMP_INJUR,Issyk-Kul,,51.98586
2016,SL_EMP_INJUR,Issyk-Kul,,44.752152
2017,SL_EMP_INJUR,Issyk-Kul,,18.566162
2018,SL_EMP_INJUR,Issyk-Kul,,10.143788
2019,SL_EMP_INJUR,Issyk-Kul,,7.904722
2007,SL_EMP_INJUR,Issyk-Kul,Female,15.759613
2008,SL_EMP_INJUR,Issyk-Kul,Female,5.282341
2010,SL_EMP_INJUR,Issyk-Kul,Female,10.077598
2011,SL_EMP_INJUR,Issyk-Kul,Female,5.041339
2012,SL_EMP_INJUR,Issyk-Kul,Female,10.163635
2013,SL_EMP_INJUR,Issyk-Kul,Female,10.07709
2014,SL_EMP_INJUR,Issyk-Kul,Female,5.059449
2015,SL_EMP_INJUR,Issyk-Kul,Female,9.607071
2016,SL_EMP_INJUR,Issyk-Kul,Female,19.536974
2017,SL_EMP_INJUR,Issyk-Kul,Female,14.912019
2019,SL_EMP_INJUR,Issyk-Kul,Female,4.837695
2007,SL_EMP_INJUR,Issyk-Kul,Male,26.281209
2008,SL_EMP_INJUR,Issyk-Kul,Male,58.330682
2009,SL_EMP_INJUR,Issyk-Kul,Male,36.972482
2010,SL_EMP_INJUR,Issyk-Kul,Male,130.300233
2011,SL_EMP_INJUR,Issyk-Kul,Male,58.880206
2012,SL_EMP_INJUR,Issyk-Kul,Male,41.346722
2013,SL_EMP_INJUR,Issyk-Kul,Male,82.417582
2014,SL_EMP_INJUR,Issyk-Kul,Male,55.906524
2015,SL_EMP_INJUR,Issyk-Kul,Male,101.959896
2016,SL_EMP_INJUR,Issyk-Kul,Male,74.230572
2017,SL_EMP_INJUR,Issyk-Kul,Male,22.746659
2018,SL_EMP_INJUR,Issyk-Kul,Male,22.373867
2019,SL_EMP_INJUR,Issyk-Kul,Male,11.573404
2007,SL_EMP_INJUR,Naryn,,17.955739
2008,SL_EMP_INJUR,Naryn,,26.688017
2009,SL_EMP_INJUR,Naryn,,4.326569
2010,SL_EMP_INJUR,Naryn,,30.101054
2011,SL_EMP_INJUR,Naryn,,12.66464
2012,SL_EMP_INJUR,Naryn,,24.857072
2013,SL_EMP_INJUR,Naryn,,8.224022
2014,SL_EMP_INJUR,Naryn,,12.259409
2015,SL_EMP_INJUR,Naryn,,3.700278
2016,SL_EMP_INJUR,Naryn,,35.364847
2019,SL_EMP_INJUR,Naryn,,7.69586
2007,SL_EMP_INJUR,Naryn,Female,8.371003
2010,SL_EMP_INJUR,Naryn,Female,7.789375
2012,SL_EMP_INJUR,Naryn,Female,14.91758
2007,SL_EMP_INJUR,Naryn,Male,29.038815
2008,SL_EMP_INJUR,Naryn,Male,59.565174
2009,SL_EMP_INJUR,Naryn,Male,9.553836
2010,SL_EMP_INJUR,Naryn,Male,57.598157
2011,SL_EMP_INJUR,Naryn,Male,28.055737
2012,SL_EMP_INJUR,Naryn,Male,37.275184
2013,SL_EMP_INJUR,Naryn,Male,18.883958
2014,SL_EMP_INJUR,Naryn,Male,28.277877
2015,SL_EMP_INJUR,Naryn,Male,8.688097
2016,SL_EMP_INJUR,Naryn,Male,81.352255
2019,SL_EMP_INJUR,Naryn,Male,17.711654
2008,SL_EMP_INJUR,Osh,,2.148043
2011,SL_EMP_INJUR,Osh,,2.416918
2015,SL_EMP_INJUR,Osh,,5.181481
2016,SL_EMP_INJUR,Osh,,2.346151
2017,SL_EMP_INJUR,Osh,,4.517834
2018,SL_EMP_INJUR,Osh,,4.578335
2016,SL_EMP_INJUR,Osh,Female,3.779289
2018,SL_EMP_INJUR,Osh,Female,3.897268
2008,SL_EMP_INJUR,Osh,Male,4.880906
2011,SL_EMP_INJUR,Osh,Male,5.961607
2015,SL_EMP_INJUR,Osh,Male,13.020833
2017,SL_EMP_INJUR,Osh,Male,11.112963
2018,SL_EMP_INJUR,Osh,Male,5.54785
2007,SL_EMP_INJUR,Talas,,11.511454
2008,SL_EMP_INJUR,Talas,,5.701579
2009,SL_EMP_INJUR,Talas,,16.051364
2010,SL_EMP_INJUR,Talas,,38.385611
2011,SL_EMP_INJUR,Talas,,21.165141
2012,SL_EMP_INJUR,Talas,,10.518012
2013,SL_EMP_INJUR,Talas,,25.514109
2014,SL_EMP_INJUR,Talas,,26.011861
2015,SL_EMP_INJUR,Talas,,15.061753
2016,SL_EMP_INJUR,Talas,,10.722711
2018,SL_EMP_INJUR,Talas,,14.769594
2019,SL_EMP_INJUR,Talas,,9.282465
2009,SL_EMP_INJUR,Talas,Female,9.474183
2010,SL_EMP_INJUR,Talas,Female,10.188487
2014,SL_EMP_INJUR,Talas,Female,19.277108
2018,SL_EMP_INJUR,Talas,Female,9.250694
2007,SL_EMP_INJUR,Talas,Male,26.588673
2008,SL_EMP_INJUR,Talas,Male,13.486177
2009,SL_EMP_INJUR,Talas,Male,24.585126
2010,SL_EMP_INJUR,Talas,Male,71.250445
2011,SL_EMP_INJUR,Talas,Male,46.838407
2012,SL_EMP_INJUR,Talas,Male,23.092022
2013,SL_EMP_INJUR,Talas,Male,55.463117
2014,SL_EMP_INJUR,Talas,Male,33.9098
2015,SL_EMP_INJUR,Talas,Male,32.619332
2016,SL_EMP_INJUR,Talas,Male,23.523877
2018,SL_EMP_INJUR,Talas,Male,21.0482
2019,SL_EMP_INJUR,Talas,Male,20.620683
2007,SL_EMP_INJUR,Chui,,54.795253
2008,SL_EMP_INJUR,Chui,,51.255766
2009,SL_EMP_INJUR,Chui,,30.489664
2010,SL_EMP_INJUR,Chui,,39.786743
2011,SL_EMP_INJUR,Chui,,28.308799
2012,SL_EMP_INJUR,Chui,,61.47541
2013,SL_EMP_INJUR,Chui,,50.052399
2014,SL_EMP_INJUR,Chui,,39.493821
2015,SL_EMP_INJUR,Chui,,52.914295
