Year,Series,Reference area,Sex,Value
2009,SL_EMP_FTLINJUR,Talas,Male,12.292563
2010,SL_EMP_FTLINJUR,Talas,Male,11.875074
2011,SL_EMP_FTLINJUR,Talas,Male,23.419204
2012,SL_EMP_FTLINJUR,Talas,Male,11.546011
2013,SL_EMP_FTLINJUR,Talas,Male,66.55574
2014,SL_EMP_FTLINJUR,Talas,Male,22.606533
2015,SL_EMP_FTLINJUR,Talas,Male,21.746222
2017,SL_EMP_FTLINJUR,Talas,Male,11.318619
2018,SL_EMP_FTLINJUR,Talas,Male,10.5241
2019,SL_EMP_FTLINJUR,Talas,Male,10.310341
2007,SL_EMP_FTLINJUR,Chui,,6.682348
2008,SL_EMP_FTLINJUR,Chui,,9.966399
2010,SL_EMP_FTLINJUR,Chui,,4.774409
2011,SL_EMP_FTLINJUR,Chui,,3.330447
2012,SL_EMP_FTLINJUR,Chui,,6.30517
2014,SL_EMP_FTLINJUR,Chui,,4.936728
2015,SL_EMP_FTLINJUR,Chui,,3.206927
2016,SL_EMP_FTLINJUR,Chui,,3.181016
2017,SL_EMP_FTLINJUR,Chui,,3.310107
2019,SL_EMP_FTLINJUR,Chui,,1.539219
2007,SL_EMP_FTLINJUR,Chui,Female,2.70966
2011,SL_EMP_FTLINJUR,Chui,Female,3.153977
2014,SL_EMP_FTLINJUR,Chui,Female,9.577932
2015,SL_EMP_FTLINJUR,Chui,Female,6.113964
2007,SL_EMP_FTLINJUR,Chui,Male,10.548801
2008,SL_EMP_FTLINJUR,Chui,Male,19.312476
2010,SL_EMP_FTLINJUR,Chui,Male,9.819967
2011,SL_EMP_FTLINJUR,Chui,Male,3.527835
2012,SL_EMP_FTLINJUR,Chui,Male,13.373901
2016,SL_EMP_FTLINJUR,Chui,Male,6.325911
2017,SL_EMP_FTLINJUR,Chui,Male,6.583712
2019,SL_EMP_FTLINJUR,Chui,Male,3.081379
2007,SL_EMP_FTLINJUR,Bishkek (city),,1.915843
2008,SL_EMP_FTLINJUR,Bishkek (city),,3.29511
2009,SL_EMP_FTLINJUR,Bishkek (city),,3.061062
2010,SL_EMP_FTLINJUR,Bishkek (city),,7.233404
2011,SL_EMP_FTLINJUR,Bishkek (city),,2.298164
2012,SL_EMP_FTLINJUR,Bishkek (city),,2.218414
2013,SL_EMP_FTLINJUR,Bishkek (city),,3.875561
2014,SL_EMP_FTLINJUR,Bishkek (city),,1.662704
2015,SL_EMP_FTLINJUR,Bishkek (city),,1.669542
2016,SL_EMP_FTLINJUR,Bishkek (city),,3.29857
2017,SL_EMP_FTLINJUR,Bishkek (city),,2.162723
2018,SL_EMP_FTLINJUR,Bishkek (city),,2.126042
2019,SL_EMP_FTLINJUR,Bishkek (city),,2.024005
2013,SL_EMP_FTLINJUR,Bishkek (city),Female,1.07118
2016,SL_EMP_FTLINJUR,Bishkek (city),Female,1.059558
2018,SL_EMP_FTLINJUR,Bishkek (city),Female,1.017491
2007,SL_EMP_FTLINJUR,Bishkek (city),Male,4.280822
2008,SL_EMP_FTLINJUR,Bishkek (city),Male,6.68342
2009,SL_EMP_FTLINJUR,Bishkek (city),Male,6.186434
2010,SL_EMP_FTLINJUR,Bishkek (city),Male,14.513261
2011,SL_EMP_FTLINJUR,Bishkek (city),Male,4.34967
2012,SL_EMP_FTLINJUR,Bishkek (city),Male,4.50121
2013,SL_EMP_FTLINJUR,Bishkek (city),Male,6.875688
2014,SL_EMP_FTLINJUR,Bishkek (city),Male,3.41328
2015,SL_EMP_FTLINJUR,Bishkek (city),Male,3.486669
2016,SL_EMP_FTLINJUR,Bishkek (city),Male,5.71311
2017,SL_EMP_FTLINJUR,Bishkek (city),Male,4.530781
2018,SL_EMP_FTLINJUR,Bishkek (city),Male,3.338452
2019,SL_EMP_FTLINJUR,Bishkek (city),Male,4.205612
2007,SL_EMP_FTLINJUR,Osh (city),,5.264266
2008,SL_EMP_FTLINJUR,Osh (city),,7.598784
2009,SL_EMP_FTLINJUR,Osh (city),,2.618418
2010,SL_EMP_FTLINJUR,Osh (city),,7.900766
2011,SL_EMP_FTLINJUR,Osh (city),,2.629849
2012,SL_EMP_FTLINJUR,Osh (city),,2.666667
2013,SL_EMP_FTLINJUR,Osh (city),,8.157938
2014,SL_EMP_FTLINJUR,Osh (city),,5.178932
2015,SL_EMP_FTLINJUR,Osh (city),,2.512879
2016,SL_EMP_FTLINJUR,Osh (city),,2.492274
2017,SL_EMP_FTLINJUR,Osh (city),,7.657554
2018,SL_EMP_FTLINJUR,Osh (city),,2.617458
2007,SL_EMP_FTLINJUR,Osh (city),Male,10.292301
2008,SL_EMP_FTLINJUR,Osh (city),Male,15.067048
2009,SL_EMP_FTLINJUR,Osh (city),Male,5.023106
2010,SL_EMP_FTLINJUR,Osh (city),Male,15.020277
2011,SL_EMP_FTLINJUR,Osh (city),Male,5.037022
2012,SL_EMP_FTLINJUR,Osh (city),Male,5.200208
2013,SL_EMP_FTLINJUR,Osh (city),Male,16.2584
2014,SL_EMP_FTLINJUR,Osh (city),Male,10.437869
2015,SL_EMP_FTLINJUR,Osh (city),Male,4.948046
2016,SL_EMP_FTLINJUR,Osh (city),Male,5.088023
2017,SL_EMP_FTLINJUR,Osh (city),Male,16.135105
2018,SL_EMP_FTLINJUR,Osh (city),Male,5.567309
