Year,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2014,,Килограммы,245
2015,,Килограммы,18337
2016,,Килограммы,21173
2017,,Килограммы,21218
2018,,Килограммы,19780
2019,,Килограммы,18098
2020,,Килограммы,18254
2021,,Килограммы,17540
2022,,Килограммы,20115
2023,,Килограммы,21892
2024,,Килограммы,20427
2015,Доля обезвреженных опасных отходов,Процент,467
2016,Доля обезвреженных опасных отходов,Процент,329
2017,Доля обезвреженных опасных отходов,Процент,402
2018,Доля обезвреженных опасных отходов,Процент,389
2019,Доля обезвреженных опасных отходов,Процент,538
2020,Доля обезвреженных опасных отходов,Процент,562
2021,Доля обезвреженных опасных отходов,Процент,570
2022,Доля обезвреженных опасных отходов,Процент,513
2023,Доля обезвреженных опасных отходов,Процент,462
2024,Доля обезвреженных опасных отходов,Процент,523
2015,Доля захороненных опасных отходов,Процент,1
2016,Доля захороненных опасных отходов,Процент,1
2017,Доля захороненных опасных отходов,Процент,0
2018,Доля захороненных опасных отходов,Процент,1
2019,Доля захороненных опасных отходов,Процент,1
2020,Доля захороненных опасных отходов,Процент,0
2021,Доля захороненных опасных отходов,Процент,1
2022,Доля захороненных опасных отходов,Процент,1
2023,Доля захороненных опасных отходов,Процент,0
2024,Доля захороненных опасных отходов,Процент,0
