Year,SERIES,Value
2007,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям",2.1
2008,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям",2.4
2009,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям",2.0
2010,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям",2.9
2011,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям",2.0
2012,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям",2.5
2013,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям",2.5
2014,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям",1.3
2015,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям",1.6
2016,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям",2.1
2017,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям",2.0
2018,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям",1.7
2019,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям",1.4
2020,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям",1.1
2007,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям",10.6
2008,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям",10.7
2009,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям",9.5
2010,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям",11.3
2011,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям",12.7
2012,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям",10.7
2013,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям",8.4
2014,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям",6.5
2015,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям",7.7
2016,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям",8.4
2017,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям",8.1
2018,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям",8.2
2019,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям",8.6
2020,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям",7.0
