Year,Value
2008,14.485166
2009,14.654688
2010,15.301479
2011,15.384615
2012,15.257958
2013,13.88601
2014,13.41165
2015,14.776471
2016,14.851485
2017,14.966314
2018,13.297207
2019,12.325142
2020,12.367362
