Year,URBANISATION,Value
2015,,61086
2016,,62421
2017,,63713
2018,,65168
2019,,66636
2020,,67896
2021,,69128
2022,,70376
2023,,71619
2024,,72818
2015,U,20328
2016,U,20776
2017,U,21252
2018,U,21782
2019,U,22361
2020,U,22881
2021,U,23959
2022,U,24537
2023,U,29784
2024,U,30373
2015,R,40758
2016,R,41645
2017,R,42461
2018,R,43386
2019,R,44275
2020,R,45015
2021,R,45169
2022,R,45839
2023,R,41835
2024,R,42445
