Year,Территория,GeoCode,Value
2015,,,23.470187
2016,,,28.487981
2017,,,31.143928
2018,,,27.299499
2019,,,28.931149
2020,,,25.2
2021,,,34.075233
2022,,,35.305353
2015,Баткенская область,KG05,29.364645
2016,Баткенская область,KG05,47.911855
2017,Баткенская область,KG05,46.221681
2018,Баткенская область,KG05,42.644557
2019,Баткенская область,KG05,38.677928
2020,Баткенская область,KG05,39.4
2021,Баткенская область,KG05,44.487603
2022,Баткенская область,KG05,49.315496
2015,Джалал-Абадская область,KG03,43.58955
2016,Джалал-Абадская область,KG03,37.24933
2017,Джалал-Абадская область,KG03,35.4
2018,Джалал-Абадская область,KG03,32.708436
2019,Джалал-Абадская область,KG03,34.657679
2020,Джалал-Абадская область,KG03,35.1
2021,Джалал-Абадская область,KG03,40.668697
2022,Джалал-Абадская область,KG03,45.444207
2015,Иссык-Кульская область,KG02,-1.504559
2016,Иссык-Кульская область,KG02,16.638283
2017,Иссык-Кульская область,KG02,29.5
2018,Иссык-Кульская область,KG02,19.463418
2019,Иссык-Кульская область,KG02,31.583101
2020,Иссык-Кульская область,KG02,42.7
2021,Иссык-Кульская область,KG02,50.797012
2022,Иссык-Кульская область,KG02,46.810604
2015,Нарынская область,KG04,20.617825
2016,Нарынская область,KG04,19.923049
2017,Нарынская область,KG04,28.473393
2018,Нарынская область,KG04,30.739784
2019,Нарынская область,KG04,47.289369
2020,Нарынская область,KG04,37.5
2021,Нарынская область,KG04,46.848562
2022,Нарынская область,KG04,45.450816
2015,Ошская область,KG06,34.255749
2016,Ошская область,KG06,30.917948
2017,Ошская область,KG06,32.665922
2018,Ошская область,KG06,27.856595
2019,Ошская область,KG06,37.990784
2020,Ошская область,KG06,40.9
2021,Ошская область,KG06,44.458036
2022,Ошская область,KG06,50.474514
2015,Таласская область,KG07,36.443189
2016,Таласская область,KG07,34.131511
2017,Таласская область,KG07,31.207421
2018,Таласская область,KG07,34.060446
2019,Таласская область,KG07,29.962169
2020,Таласская область,KG07,36.7
2021,Таласская область,KG07,40.532202
2022,Таласская область,KG07,40.147962
2015,Чуйская область,KG08,31.422096
2016,Чуйская область,KG08,25.580014
2017,Чуйская область,KG08,38.456746
2018,Чуйская область,KG08,35.486614
2019,Чуйская область,KG08,23.647168
2020,Чуйская область,KG08,24.7
2021,Чуйская область,KG08,33.353176
2022,Чуйская область,KG08,29.735684
2015,г. Бишкек,KG11,9.584576
2016,г. Бишкек,KG11,12.583671
2017,г. Бишкек,KG11,16.3
2018,г. Бишкек,KG11,12.865469
2019,г. Бишкек,KG11,16.50586
2020,г. Бишкек,KG11,-8.0
2021,г. Бишкек,KG11,10.464053
2022,г. Бишкек,KG11,12.912088
2015,г. Ош,KG21,16.932905
2016,г. Ош,KG21,40.826476
2017,г. Ош,KG21,42.862634
2018,г. Ош,KG21,38.281575
2019,г. Ош,KG21,31.381882
2020,г. Ош,KG21,38.8
2021,г. Ош,KG21,43.479083
2022,г. Ош,KG21,41.117034
