Year,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,GeoCode,Value
2018,,,Y_GE15,,,,,91.8
2019,,,Y_GE15,,,,,91.178938
2020,,,Y_GE15,,,,,92.6
2021,,,Y_GE15,,,,,92.994602
2018,,,Y_GE15,U,,,,94.9
2019,,,Y_GE15,U,,,,95.590033
2020,,,Y_GE15,U,,,,96.0
2021,,,Y_GE15,U,,,,96.70329
2018,,,Y_GE15,R,,,,89.9
2019,,,Y_GE15,R,,,,88.555506
2020,,,Y_GE15,R,,,,90.5
2021,,,Y_GE15,R,,,,90.681478
2018,,M,Y_GE15,,,,,92.8
2019,,M,Y_GE15,,,,,92.137465
2020,,M,Y_GE15,,,,,93.2
2021,,M,Y_GE15,,,,,94.137112
2018,,F,Y_GE15,,,,,91.0
2019,,F,Y_GE15,,,,,90.379166
2020,,F,Y_GE15,,,,,92.0
2021,,F,Y_GE15,,,,,92.036289
2018,KG05,,Y_GE15,,,,KG05,91.1
2019,KG05,,Y_GE15,,,,KG05,92.501775
2020,KG05,,Y_GE15,,,,KG05,93.5
2021,KG05,,Y_GE15,,,,KG05,93.333536
2018,KG03,,Y_GE15,,,,KG03,90.6
2019,KG03,,Y_GE15,,,,KG03,82.95577
2020,KG03,,Y_GE15,,,,KG03,83.5
2021,KG03,,Y_GE15,,,,KG03,83.868737
2018,KG02,,Y_GE15,,,,KG02,92.1
2019,KG02,,Y_GE15,,,,KG02,93.390895
2020,KG02,,Y_GE15,,,,KG02,95.2
2021,KG02,,Y_GE15,,,,KG02,96.414753
2018,KG04,,Y_GE15,,,,KG04,89.4
2019,KG04,,Y_GE15,,,,KG04,89.199874
2020,KG04,,Y_GE15,,,,KG04,92.2
2021,KG04,,Y_GE15,,,,KG04,93.035508
2018,KG06,,Y_GE15,,,,KG06,87.6
2019,KG06,,Y_GE15,,,,KG06,89.256132
2020,KG06,,Y_GE15,,,,KG06,93.2
2021,KG06,,Y_GE15,,,,KG06,92.867771
2018,KG07,,Y_GE15,,,,KG07,91.5
2019,KG07,,Y_GE15,,,,KG07,90.937706
2020,KG07,,Y_GE15,,,,KG07,92.6
2021,KG07,,Y_GE15,,,,KG07,92.877988
2018,KG08,,Y_GE15,,,,KG08,94.6
2019,KG08,,Y_GE15,,,,KG08,95.858208
2020,KG08,,Y_GE15,,,,KG08,96.0
2021,KG08,,Y_GE15,,,,KG08,96.944232
2018,KG11,,Y_GE15,,,,KG11,97.0
2019,KG11,,Y_GE15,,,,KG11,97.2808
2020,KG11,,Y_GE15,,,,KG11,97.9
2021,KG11,,Y_GE15,,,,KG11,97.652833
2018,KG21,,Y_GE15,,,,KG21,88.3
2019,KG21,,Y_GE15,,,,KG21,91.838606
2020,KG21,,Y_GE15,,,,KG21,91.9
2021,KG21,,Y_GE15,,,,KG21,95.83957
2018,,,Y15T28,,,,,90.9
2019,,,Y15T28,,,,,89.361139
2020,,,Y15T28,,,,,90.1
2021,,,Y15T28,,,,,91.964757
2018,,,Y29T62,,,,,95.9
2019,,,Y29T62,,,,,95.334863
2020,,,Y29T62,,,,,96.1
2021,,,Y29T62,,,,,95.62544
2018,,,Y_GE58,,,,,78.8
2019,,,Y_GE58,,,,,80.597836
2020,,,Y_GE58,,,,,85.6
2021,,,Y_GE58,,,,,86.706527
2018,,,Y_GE15,,,ISCED11_1,,58.1
2019,,,Y_GE15,,,ISCED11_1,,60.727949
2020,,,Y_GE15,,,ISCED11_1,,68.7
2021,,,Y_GE15,,,ISCED11_1,,68.076027
2018,,,Y_GE15,,,ISCED11_2,,84.0
2019,,,Y_GE15,,,ISCED11_2,,82.680604
2020,,,Y_GE15,,,ISCED11_2,,85.6
2021,,,Y_GE15,,,ISCED11_2,,89.482325
2018,,,Y_GE15,,,ISCED11_3,,92.8
2019,,,Y_GE15,,,ISCED11_3,,92.037394
2020,,,Y_GE15,,,ISCED11_3,,92.9
2021,,,Y_GE15,,,ISCED11_3,,92.677684
2018,,,Y_GE15,,,ISCED11_4,,96.4
2019,,,Y_GE15,,,ISCED11_4,,96.037143
2020,,,Y_GE15,,,ISCED11_4,,96.8
2021,,,Y_GE15,,,ISCED11_4,,97.302275
2018,,,Y_GE15,,,ISCED11_6_7,,98.1
2019,,,Y_GE15,,,ISCED11_6_7,,97.488857
2020,,,Y_GE15,,,ISCED11_6_7,,98.4
2021,,,Y_GE15,,,ISCED11_6_7,,98.334718
2018,,,Y_GE15,,Q1,,,88.941427
2019,,,Y_GE15,,Q1,,,86.235104
2020,,,Y_GE15,,Q1,,,87.533804
2021,,,Y_GE15,,Q1,,,86.414024
2018,,,Y_GE15,,Q2,,,90.234584
2019,,,Y_GE15,,Q2,,,90.9333
2020,,,Y_GE15,,Q2,,,92.176936
2021,,,Y_GE15,,Q2,,,93.331957
2018,,,Y_GE15,,Q3,,,91.864446
2019,,,Y_GE15,,Q3,,,90.460037
2020,,,Y_GE15,,Q3,,,95.223429
2021,,,Y_GE15,,Q3,,,94.055976
2018,,,Y_GE15,,Q4,,,91.919084
2019,,,Y_GE15,,Q4,,,93.289778
2020,,,Y_GE15,,Q4,,,93.748841
2021,,,Y_GE15,,Q4,,,95.449908
2018,,,Y_GE15,,Q5,,,94.603144
2019,,,Y_GE15,,Q5,,,93.356497
2020,,,Y_GE15,,Q5,,,95.771799
2021,,,Y_GE15,,Q5,,,96.978118
