Year,Территория,Тип местности,GeoCode,Value
2014,,,,99.6
2018,,,,99.7
2023,,,,99.4
2014,,Городская,,99.8
2018,,Городская,,99.8
2023,,Городская,,99.1
2014,,Сельская,,99.5
2018,,Сельская,,99.6
2023,,Сельская,,99.5
2014,Баткенская область,,KG05,99.6
2018,Баткенская область,,KG05,99.7
2023,Баткенская область,,KG05,98.9
2014,Джалал-Абадская область,,KG03,100.0
2018,Джалал-Абадская область,,KG03,99.4
2023,Джалал-Абадская область,,KG03,99.4
2014,Иссык-Кульская область,,KG02,99.4
2018,Иссык-Кульская область,,KG02,100.0
2023,Иссык-Кульская область,,KG02,99.7
2014,Нарынская область,,KG04,99.8
2018,Нарынская область,,KG04,99.7
2023,Нарынская область,,KG04,100.0
2014,Ошская область,,KG06,99.9
2018,Ошская область,,KG06,99.8
2023,Ошская область,,KG06,99.4
2014,Таласская область,,KG07,98.7
2018,Таласская область,,KG07,100.0
2023,Таласская область,,KG07,100.0
2014,Чуйская область,,KG08,99.1
2018,Чуйская область,,KG08,99.5
2023,Чуйская область,,KG08,99.4
2014,г. Бишкек,,KG11,100.0
2018,г. Бишкек,,KG11,99.9
2023,г. Бишкек,,KG11,100.0
2014,г. Ош,,KG21,98.5
2018,г. Ош,,KG21,99.5
2023,г. Ош,,KG21,97.4
