Year,SERIES,Value
2007,Число филиалов коммерческих банков на 100 000 взрослых,6.107469
2008,Число филиалов коммерческих банков на 100 000 взрослых,6.545429
2009,Число филиалов коммерческих банков на 100 000 взрослых,6.616596
2010,Число филиалов коммерческих банков на 100 000 взрослых,5.668633
2011,Число филиалов коммерческих банков на 100 000 взрослых,6.729466
2012,Число филиалов коммерческих банков на 100 000 взрослых,7.22071
2013,Число филиалов коммерческих банков на 100 000 взрослых,7.319149
2014,Число филиалов коммерческих банков на 100 000 взрослых,7.336489
2015,Число филиалов коммерческих банков на 100 000 взрослых,7.719834
2016,Число филиалов коммерческих банков на 100 000 взрослых,7.825828
2017,Число филиалов коммерческих банков на 100 000 взрослых,7.578907
2018,Число филиалов коммерческих банков на 100 000 взрослых,7.498525
2019,Число филиалов коммерческих банков на 100 000 взрослых,7.414108
2020,Число филиалов коммерческих банков на 100 000 взрослых,7.038465
2021,Число филиалов коммерческих банков на 100 000 взрослых,6.913265
2022,Число филиалов коммерческих банков на 100 000 взрослых,6.903169
2023,Число филиалов коммерческих банков на 100 000 взрослых,6.790445
2007,Число банкоматов на 100 000 взрослых,2.471394
2008,Число банкоматов на 100 000 взрослых,4.888003
2009,Число банкоматов на 100 000 взрослых,8.720619
2010,Число банкоматов на 100 000 взрослых,7.522356
2011,Число банкоматов на 100 000 взрослых,12.187222
2012,Число банкоматов на 100 000 взрослых,15.844004
2013,Число банкоматов на 100 000 взрослых,20.860849
2014,Число банкоматов на 100 000 взрослых,24.989133
2015,Число банкоматов на 100 000 взрослых,30.387627
2016,Число банкоматов на 100 000 взрослых,31.399927
2017,Число банкоматов на 100 000 взрослых,33.570521
2018,Число банкоматов на 100 000 взрослых,36.978707
2019,Число банкоматов на 100 000 взрослых,39.297069
2020,Число банкоматов на 100 000 взрослых,41.86984
2021,Число банкоматов на 100 000 взрослых,42.32159
2022,Число банкоматов на 100 000 взрослых,44.306188
2023,Число банкоматов на 100 000 взрослых,47.957519
