Year,SERIES,REF_AREA,GeoCode,Value
2015,SH_ACS_MCV2,KG07,KG07,97.1
2016,SH_ACS_MCV2,KG07,KG07,97.0
2017,SH_ACS_MCV2,KG07,KG07,95.6
2018,SH_ACS_MCV2,KG07,KG07,98.413291
2019,SH_ACS_MCV2,KG07,KG07,95.974889
2020,SH_ACS_MCV2,KG07,KG07,95.177033
2021,SH_ACS_MCV2,KG07,KG07,95.401432
2022,SH_ACS_MCV2,KG07,KG07,99.105901
2007,SH_ACS_MCV2,KG08,KG08,99.1
2008,SH_ACS_MCV2,KG08,KG08,97.4
2009,SH_ACS_MCV2,KG08,KG08,98.7
2010,SH_ACS_MCV2,KG08,KG08,96.4
2011,SH_ACS_MCV2,KG08,KG08,97.1
2012,SH_ACS_MCV2,KG08,KG08,96.4
2013,SH_ACS_MCV2,KG08,KG08,99.3
2014,SH_ACS_MCV2,KG08,KG08,96.5
2015,SH_ACS_MCV2,KG08,KG08,98.6
2016,SH_ACS_MCV2,KG08,KG08,95.0
2017,SH_ACS_MCV2,KG08,KG08,96.3
2018,SH_ACS_MCV2,KG08,KG08,97.43813
2019,SH_ACS_MCV2,KG08,KG08,99.450649
2020,SH_ACS_MCV2,KG08,KG08,97.514722
2021,SH_ACS_MCV2,KG08,KG08,92.308749
2022,SH_ACS_MCV2,KG08,KG08,100.168928
2007,SH_ACS_MCV2,KG11,KG11,99.8
2008,SH_ACS_MCV2,KG11,KG11,99.9
2009,SH_ACS_MCV2,KG11,KG11,98.6
2010,SH_ACS_MCV2,KG11,KG11,99.0
2011,SH_ACS_MCV2,KG11,KG11,97.4
2012,SH_ACS_MCV2,KG11,KG11,97.7
2013,SH_ACS_MCV2,KG11,KG11,98.4
2014,SH_ACS_MCV2,KG11,KG11,95.6
2015,SH_ACS_MCV2,KG11,KG11,99.8
2016,SH_ACS_MCV2,KG11,KG11,95.1
2017,SH_ACS_MCV2,KG11,KG11,91.7
2018,SH_ACS_MCV2,KG11,KG11,96.281062
2019,SH_ACS_MCV2,KG11,KG11,96.444387
2020,SH_ACS_MCV2,KG11,KG11,83.697508
2021,SH_ACS_MCV2,KG11,KG11,89.338843
2022,SH_ACS_MCV2,KG11,KG11,87.061971
2007,SH_ACS_MCV2,KG21,KG21,98.8
2008,SH_ACS_MCV2,KG21,KG21,98.9
2009,SH_ACS_MCV2,KG21,KG21,98.2
2010,SH_ACS_MCV2,KG21,KG21,97.4
2011,SH_ACS_MCV2,KG21,KG21,99.7
2012,SH_ACS_MCV2,KG21,KG21,98.1
2013,SH_ACS_MCV2,KG21,KG21,98.7
2014,SH_ACS_MCV2,KG21,KG21,99.9
2015,SH_ACS_MCV2,KG21,KG21,99.7
2016,SH_ACS_MCV2,KG21,KG21,96.8
2017,SH_ACS_MCV2,KG21,KG21,97.7
2018,SH_ACS_MCV2,KG21,KG21,99.425085
2019,SH_ACS_MCV2,KG21,KG21,97.981883
2020,SH_ACS_MCV2,KG21,KG21,93.662127
2021,SH_ACS_MCV2,KG21,KG21,87.955556
2022,SH_ACS_MCV2,KG21,KG21,95.855753
2015,SH_ACS_PCV3,,,96.8
2016,SH_ACS_PCV3,,,97.2
2017,SH_ACS_PCV3,,,94.2
2018,SH_ACS_PCV3,,,92.0
2019,SH_ACS_PCV3,,,95.083643
2020,SH_ACS_PCV3,,,88.782542
2021,SH_ACS_PCV3,,,89.631204
2022,SH_ACS_PCV3,,,92.843773
2015,SH_ACS_PCV3,KG05,KG05,97.3
2016,SH_ACS_PCV3,KG05,KG05,99.3
2017,SH_ACS_PCV3,KG05,KG05,96.3
2018,SH_ACS_PCV3,KG05,KG05,94.6
2019,SH_ACS_PCV3,KG05,KG05,99.597512
2020,SH_ACS_PCV3,KG05,KG05,83.440107
2021,SH_ACS_PCV3,KG05,KG05,89.204466
2022,SH_ACS_PCV3,KG05,KG05,95.656192
2015,SH_ACS_PCV3,KG03,KG03,97.3
2016,SH_ACS_PCV3,KG03,KG03,95.9
2017,SH_ACS_PCV3,KG03,KG03,94.5
2018,SH_ACS_PCV3,KG03,KG03,93.8
2019,SH_ACS_PCV3,KG03,KG03,90.089857
2020,SH_ACS_PCV3,KG03,KG03,88.195819
2021,SH_ACS_PCV3,KG03,KG03,84.751749
2022,SH_ACS_PCV3,KG03,KG03,91.580591
2015,SH_ACS_PCV3,KG02,KG02,98.2
2016,SH_ACS_PCV3,KG02,KG02,96.4
2017,SH_ACS_PCV3,KG02,KG02,96.3
2018,SH_ACS_PCV3,KG02,KG02,95.0
2019,SH_ACS_PCV3,KG02,KG02,94.992818
2020,SH_ACS_PCV3,KG02,KG02,88.268865
2021,SH_ACS_PCV3,KG02,KG02,96.201681
2022,SH_ACS_PCV3,KG02,KG02,97.64356
2015,SH_ACS_PCV3,KG04,KG04,96.8
2016,SH_ACS_PCV3,KG04,KG04,96.7
2017,SH_ACS_PCV3,KG04,KG04,97.0
2018,SH_ACS_PCV3,KG04,KG04,95.1
2019,SH_ACS_PCV3,KG04,KG04,97.283381
2020,SH_ACS_PCV3,KG04,KG04,91.250904
2021,SH_ACS_PCV3,KG04,KG04,95.567145
2022,SH_ACS_PCV3,KG04,KG04,95.022895
2015,SH_ACS_PCV3,KG06,KG06,96.3
2016,SH_ACS_PCV3,KG06,KG06,98.8
2017,SH_ACS_PCV3,KG06,KG06,97.2
2018,SH_ACS_PCV3,KG06,KG06,92.1
2019,SH_ACS_PCV3,KG06,KG06,98.41451
2020,SH_ACS_PCV3,KG06,KG06,95.711275
2021,SH_ACS_PCV3,KG06,KG06,91.330444
2022,SH_ACS_PCV3,KG06,KG06,96.027089
2015,SH_ACS_PCV3,KG07,KG07,97.2
2016,SH_ACS_PCV3,KG07,KG07,96.1
2017,SH_ACS_PCV3,KG07,KG07,94.0
2018,SH_ACS_PCV3,KG07,KG07,96.0
2019,SH_ACS_PCV3,KG07,KG07,94.297841
2020,SH_ACS_PCV3,KG07,KG07,95.762224
2021,SH_ACS_PCV3,KG07,KG07,91.368262
2022,SH_ACS_PCV3,KG07,KG07,90.224518
2015,SH_ACS_PCV3,KG08,KG08,97.6
2016,SH_ACS_PCV3,KG08,KG08,98.7
2017,SH_ACS_PCV3,KG08,KG08,92.6
2018,SH_ACS_PCV3,KG08,KG08,92.1
2019,SH_ACS_PCV3,KG08,KG08,94.916128
2020,SH_ACS_PCV3,KG08,KG08,90.955903
2021,SH_ACS_PCV3,KG08,KG08,92.345374
2022,SH_ACS_PCV3,KG08,KG08,94.652378
2015,SH_ACS_PCV3,KG11,KG11,95.0
2016,SH_ACS_PCV3,KG11,KG11,94.8
2017,SH_ACS_PCV3,KG11,KG11,90.4
2018,SH_ACS_PCV3,KG11,KG11,83.4
2019,SH_ACS_PCV3,KG11,KG11,93.823491
2020,SH_ACS_PCV3,KG11,KG11,79.378126
2021,SH_ACS_PCV3,KG11,KG11,88.660287
2022,SH_ACS_PCV3,KG11,KG11,86.721043
2015,SH_ACS_PCV3,KG21,KG21,97.9
2016,SH_ACS_PCV3,KG21,KG21,96.8
2017,SH_ACS_PCV3,KG21,KG21,90.0
2018,SH_ACS_PCV3,KG21,KG21,93.9
2019,SH_ACS_PCV3,KG21,KG21,95.896254
2020,SH_ACS_PCV3,KG21,KG21,87.352779
2021,SH_ACS_PCV3,KG21,KG21,84.944444
2022,SH_ACS_PCV3,KG21,KG21,89.112765
