Year,SEX,Value
2007,,3.040621
2008,,2.8227
2009,,2.53626
2010,,2.581546
2011,,2.452673
2012,,2.4
2013,,2.365496
2014,,2.325931
2015,,2.201387
2016,,2.181767
2017,,2.280168
2018,,2.791516
2019,,2.945501
2007,F,3.617864
2008,F,3.288586
2009,F,3.057784
2010,F,3.25141
2011,F,3.050403
2012,F,3.0
2013,F,3.022166
2014,F,2.924691
2015,F,2.851356
2016,F,2.875583
2017,F,2.965272
2018,F,3.612611
2019,F,3.684217
2007,M,2.618787
2008,M,2.471303
2009,M,2.153339
2010,M,2.099174
2011,M,2.022851
2012,M,2.0
2013,M,1.920636
2014,M,1.902712
2015,M,1.749646
2016,M,1.708779
2017,M,1.84019
2018,M,2.276337
2019,M,2.479511
