Year,SEX,AGE,Value
2015,M,Y15,53.5
2016,M,Y15,53.7
2017,M,Y15,53.8
2018,M,Y15,54.0
2019,M,Y15,54.2
2020,M,Y15,54.2
2021,M,Y15,54.4
2022,M,Y15,54.4
2023,M,Y15,54.7
2015,M,Y45,26.5
2016,M,Y45,26.2
2017,M,Y45,26.2
2018,M,Y45,26.2
2019,M,Y45,26.4
2020,M,Y45,26.3
2021,M,Y45,26.7
2022,M,Y45,26.3
2023,M,Y45,26.5
2015,M,Y65,11.7
2016,M,Y65,10.9
2017,M,Y65,11.0
2018,M,Y65,10.7
2019,M,Y65,10.8
2020,M,Y65,10.7
2021,M,Y65,11.5
2022,M,Y65,10.1
2023,M,Y65,9.8
2015,F,Y15,61.4
2016,F,Y15,61.6
2017,F,Y15,61.8
2018,F,Y15,62.0
2019,F,Y15,62.1
2020,F,Y15,62.3
2021,F,Y15,62.5
2022,F,Y15,62.6
2023,F,Y15,62.9
2015,F,Y45,32.8
2016,F,Y45,33.0
2017,F,Y45,33.0
2018,F,Y45,33.2
2019,F,Y45,33.2
2020,F,Y45,33.5
2021,F,Y45,33.7
2022,F,Y45,33.6
2023,F,Y45,33.8
2015,F,Y65,15.8
2016,F,Y65,15.8
2017,F,Y65,15.8
2018,F,Y65,15.9
2019,F,Y65,15.8
2020,F,Y65,16.0
2021,F,Y65,16.6
2022,F,Y65,15.9
2023,F,Y65,16.0
