Year,Reference area,Sex,GeoCode,Value
2007,,,,18.4
2008,,,,19.2
2009,,,,17.6
2010,,,,16.1
2011,,,,16.9
2012,,,,16.5
2013,,,,17.9
2014,,,,15.3
2015,,,,15.6
2016,,,,13.4
2017,,,,13.7
2018,,,,11.0
2019,,,,12.0
2020,,,,9.7
2021,,,,12.6
2007,,Male,,28.089888
2008,,Male,,30.111297
2009,,Male,,27.816464
2010,,Male,,24.728544
2011,,Male,,25.526132
2012,,Male,,25.41241
2013,,Male,,26.876967
2014,,Male,,23.34846
2015,,Male,,23.093357
2016,,Male,,19.889099
2017,,Male,,20.701777
2018,,Male,,16.264311
2019,,Male,,19.290798
2020,,Male,,14.7
2021,,Male,,17.9
2007,,Female,,8.915193
2008,,Female,,8.645319
2009,,Female,,7.555197
2010,,Female,,7.612281
2011,,Female,,8.524355
2012,,Female,,7.824616
2013,,Female,,9.127999
2014,,Female,,7.324268
2015,,Female,,8.2771
2016,,Female,,6.942407
2017,,Female,,6.909126
2018,,Female,,5.804104
2019,,Female,,4.826463
2020,,Female,,4.8
2021,,Female,,7.3
2007,Batken,,KG05,8.3
2008,Batken,,KG05,13.7
2009,Batken,,KG05,15.8
2010,Batken,,KG05,13.03155
2011,Batken,,KG05,12.587098
2012,Batken,,KG05,12.780961
2013,Batken,,KG05,14.645703
2014,Batken,,KG05,11.994949
2015,Batken,,KG05,15.824085
2016,Batken,,KG05,11.041959
2017,Batken,,KG05,13.569322
2018,Batken,,KG05,9.048903
2019,Batken,,KG05,10.165663
2020,Batken,,KG05,10.7
2021,Batken,,KG05,12.6
2007,Batken,Male,KG05,11.676787
2008,Batken,Male,KG05,21.759259
2009,Batken,Male,KG05,23.744292
2010,Batken,Male,KG05,21.1426
2011,Batken,Male,KG05,18.600531
2012,Batken,Male,KG05,19.097222
2013,Batken,Male,KG05,22.467147
2014,Batken,Male,KG05,19.453642
2015,Batken,Male,KG05,25.050505
2016,Batken,Male,KG05,16.969219
2017,Batken,Male,KG05,20.865533
2018,Batken,Male,KG05,14.36673
2019,Batken,Male,KG05,17.36881
2020,Batken,Male,KG05,17.7
2021,Batken,Male,KG05,19.5
2007,Batken,Female,KG05,4.828585
2008,Batken,Female,KG05,5.270724
2009,Batken,Female,KG05,7.56859
2010,Batken,Female,KG05,4.649
2011,Batken,Female,KG05,6.389776
2012,Batken,Female,KG05,6.266786
2013,Batken,Female,KG05,6.567426
2014,Batken,Female,KG05,4.280822
2015,Batken,Female,KG05,6.273526
2016,Batken,Female,KG05,4.903964
2017,Batken,Female,KG05,6.007209
2018,Batken,Female,KG05,3.530796
2019,Batken,Female,KG05,2.686109
2020,Batken,Female,KG05,3.4
2021,Batken,Female,KG05,5.5
2007,Jalal-Abad,,KG03,13.2
2008,Jalal-Abad,,KG03,16.7
2009,Jalal-Abad,,KG03,16.5
2010,Jalal-Abad,,KG03,12.913875
2011,Jalal-Abad,,KG03,15.209489
2012,Jalal-Abad,,KG03,17.456593
2013,Jalal-Abad,,KG03,14.613971
2014,Jalal-Abad,,KG03,11.793302
2015,Jalal-Abad,,KG03,12.693935
2016,Jalal-Abad,,KG03,11.05736
2017,Jalal-Abad,,KG03,8.646266
2018,Jalal-Abad,,KG03,7.900208
2019,Jalal-Abad,,KG03,8.641774
2020,Jalal-Abad,,KG03,6.2
2021,Jalal-Abad,,KG03,10.3
2007,Jalal-Abad,Male,KG03,21.453147
2008,Jalal-Abad,Male,KG03,27.6
2009,Jalal-Abad,Male,KG03,25.989368
2010,Jalal-Abad,Male,KG03,19.592629
2011,Jalal-Abad,Male,KG03,23.118074
2012,Jalal-Abad,Male,KG03,25.857223
2013,Jalal-Abad,Male,KG03,21.272694
2014,Jalal-Abad,Male,KG03,18.847604
2015,Jalal-Abad,Male,KG03,18.437226
2016,Jalal-Abad,Male,KG03,16.678129
2017,Jalal-Abad,Male,KG03,12.814028
2018,Jalal-Abad,Male,KG03,10.745578
2019,Jalal-Abad,Male,KG03,13.933895
2020,Jalal-Abad,Male,KG03,8.4
2021,Jalal-Abad,Male,KG03,12.3
