Year,Reference area,Sex,GeoCode,Value
2007,,,,115.478276
2008,,,,106.340082
2009,,,,103.932976
2010,,,,101.138775
2011,,,,100.367124
2012,,,,104.342194
2013,,,,102.43272
2014,,,,101.065558
2015,,,,98.249685
2016,,,,93.423511
2017,,,,90.6
2018,,,,83.012882
2019,,,,78.928029
2020,,,,53.463697
2021,,,,58.143497
2007,,Female,,91.061332
2008,,Female,,85.809103
2009,,Female,,85.417204
2010,,Female,,84.9
2011,,Female,,81.94725
2012,,Female,,85.223608
2013,,Female,,87.8
2014,,Female,,88.7
2015,,Female,,83.7
2016,,Female,,81.7
2017,,Female,,77.7
2018,,Female,,69.02199
2019,,Female,,66.863517
2020,,Female,,46.052047
2021,,Female,,50.405858
2007,,Male,,140.46199
2008,,Male,,127.338423
2009,,Male,,122.936319
2010,,Male,,117.8
2011,,Male,,119.256007
2012,,Male,,123.922984
2013,,Male,,117.4
2014,,Male,,113.7
2015,,Male,,113.1
2016,,Male,,105.3
2017,,Male,,103.8
2018,,Male,,97.234292
2019,,Male,,91.178105
2020,,Male,,60.767053
2021,,Male,,65.99579
2007,Batken,,KG05,80.315042
2008,Batken,,KG05,81.679899
2009,Batken,,KG05,82.704723
2010,Batken,,KG05,81.83755
2011,Batken,,KG05,78.880836
2012,Batken,,KG05,90.334237
2013,Batken,,KG05,90.032265
2014,Batken,,KG05,86.073371
2015,Batken,,KG05,72.743563
2016,Batken,,KG05,67.061001
2017,Batken,,KG05,70.8
2018,Batken,,KG05,64.887679
2019,Batken,,KG05,55.906409
2020,Batken,,KG05,46.609654
2021,Batken,,KG05,47.339416
2007,Batken,Female,KG05,70.837249
2008,Batken,Female,KG05,67.323067
2009,Batken,Female,KG05,81.332337
2010,Batken,Female,KG05,62.3
2011,Batken,Female,KG05,63.9
2012,Batken,Female,KG05,79.7
2013,Batken,Female,KG05,81.0
2014,Batken,Female,KG05,78.8
2015,Batken,Female,KG05,63.1
2016,Batken,Female,KG05,66.6
2017,Batken,Female,KG05,65.7
2018,Batken,Female,KG05,60.420827
2019,Batken,Female,KG05,45.279254
2020,Batken,Female,KG05,39.785592
2021,Batken,Female,KG05,44.184574
2007,Batken,Male,KG05,89.745096
2008,Batken,Male,KG05,95.98673
2009,Batken,Male,KG05,84.03016
2010,Batken,Male,KG05,100.8
2011,Batken,Male,KG05,93.4
2012,Batken,Male,KG05,100.7
2013,Batken,Male,KG05,98.8
2014,Batken,Male,KG05,93.2
2015,Batken,Male,KG05,82.0
2016,Batken,Male,KG05,67.5
2017,Batken,Male,KG05,75.7
2018,Batken,Male,KG05,69.192377
2019,Batken,Male,KG05,66.139521
2020,Batken,Male,KG05,53.693997
2021,Batken,Male,KG05,50.379264
2007,Jalal-Abad,,KG03,91.916186
2008,Jalal-Abad,,KG03,88.339312
2009,Jalal-Abad,,KG03,87.787489
2010,Jalal-Abad,,KG03,85.931674
2011,Jalal-Abad,,KG03,82.549369
2012,Jalal-Abad,,KG03,86.910818
2013,Jalal-Abad,,KG03,80.886516
2014,Jalal-Abad,,KG03,85.34428
2015,Jalal-Abad,,KG03,76.512241
2016,Jalal-Abad,,KG03,84.915163
2017,Jalal-Abad,,KG03,80.2
2018,Jalal-Abad,,KG03,73.346827
2019,Jalal-Abad,,KG03,68.97159
2020,Jalal-Abad,,KG03,49.13246
2021,Jalal-Abad,,KG03,54.819948
2007,Jalal-Abad,Female,KG03,75.21801
2008,Jalal-Abad,Female,KG03,71.207543
2009,Jalal-Abad,Female,KG03,71.790057
2010,Jalal-Abad,Female,KG03,74.3
2011,Jalal-Abad,Female,KG03,72.983333
2012,Jalal-Abad,Female,KG03,75.789204
2013,Jalal-Abad,Female,KG03,74.3
2014,Jalal-Abad,Female,KG03,81.8
2015,Jalal-Abad,Female,KG03,66.2
2016,Jalal-Abad,Female,KG03,79.5
2017,Jalal-Abad,Female,KG03,72.8
2018,Jalal-Abad,Female,KG03,64.089585
2019,Jalal-Abad,Female,KG03,67.445158
2020,Jalal-Abad,Female,KG03,42.132308
2021,Jalal-Abad,Female,KG03,47.67992
2007,Jalal-Abad,Male,KG03,108.757553
2008,Jalal-Abad,Male,KG03,105.621764
2009,Jalal-Abad,Male,KG03,103.75711
2010,Jalal-Abad,Male,KG03,97.6
