Year,Series,Территория,Units,Value
2016,_L_KG_060401_2A,г. Бишкек,M_M3_PER_YR,23.8
2017,_L_KG_060401_2A,г. Бишкек,M_M3_PER_YR,24.6
2018,_L_KG_060401_2A,г. Бишкек,M_M3_PER_YR,25.3
2019,_L_KG_060401_2A,г. Бишкек,M_M3_PER_YR,25.8
2017,_L_KG_060401_2A,г. Ош,M_M3_PER_YR,6.8
2018,_L_KG_060401_2A,г. Ош,M_M3_PER_YR,6.8
2019,_L_KG_060401_2A,г. Ош,M_M3_PER_YR,6.8
2010,_L_KG_060401_2B,,PT,23.4
2011,_L_KG_060401_2B,,PT,21.7
2012,_L_KG_060401_2B,,PT,21.7
2013,_L_KG_060401_2B,,PT,22.5
2014,_L_KG_060401_2B,,PT,26.5
2015,_L_KG_060401_2B,,PT,27.6
2016,_L_KG_060401_2B,,PT,25.1
2017,_L_KG_060401_2B,,PT,27.8
2018,_L_KG_060401_2B,,PT,26.9
2019,_L_KG_060401_2B,,PT,27.8
2010,_L_KG_060401_2B,Баткенская область,PT,20.1
2011,_L_KG_060401_2B,Баткенская область,PT,20.2
2012,_L_KG_060401_2B,Баткенская область,PT,9.6
2013,_L_KG_060401_2B,Баткенская область,PT,9.6
2014,_L_KG_060401_2B,Баткенская область,PT,0.7
2015,_L_KG_060401_2B,Баткенская область,PT,17.8
2016,_L_KG_060401_2B,Баткенская область,PT,17.7
2017,_L_KG_060401_2B,Баткенская область,PT,16.7
2018,_L_KG_060401_2B,Баткенская область,PT,15.6
2019,_L_KG_060401_2B,Баткенская область,PT,15.8
2010,_L_KG_060401_2B,Джалал-Абадская область,PT,27.3
2011,_L_KG_060401_2B,Джалал-Абадская область,PT,18.3
2012,_L_KG_060401_2B,Джалал-Абадская область,PT,63.0
2013,_L_KG_060401_2B,Джалал-Абадская область,PT,63.0
2014,_L_KG_060401_2B,Джалал-Абадская область,PT,44.8
2015,_L_KG_060401_2B,Джалал-Абадская область,PT,21.1
2016,_L_KG_060401_2B,Джалал-Абадская область,PT,21.1
2017,_L_KG_060401_2B,Джалал-Абадская область,PT,22.9
2018,_L_KG_060401_2B,Джалал-Абадская область,PT,20.1
2019,_L_KG_060401_2B,Джалал-Абадская область,PT,25.1
