Year,COMPOSITE_BREAKDOWN,Политика доменов,Value
2019,,,3
2019,Сфера политики 1. Права мигрантов,,3
2019,"Сфера политики 2. Комплексный межведомственный подход и политика, основанная на доказательствах",,4
2019,Сфера политики 3. Сотрудничество и партнёрство,,4
2019,Сфера политики 4. Социально-экономическое благополучие,,3
2019,Сфера политики 5. Мобильность в условиях кризисов,,3
2019,"Сфера политики 6. Безопасная, упорядоченная и регулярная миграция",,4
2021,,Общий,3
2021,,Домен 1. Права мигрантов,3
2021,,Домен 2. Общегосударственная/ основанная на фактических данных политика,4
2021,,Домен 3. Сотрудничество и партнерство,4
2021,,Домен 4. Социально-экономическое благополучие,3
2021,,Домен 5. Оперативность измерения кризисов,3
2021,,"Домен 6. Безопасная, упорядоченная и регулярная миграция",4
