Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,GeoCode,Value
2017,VC_IHR_PSRCN,KG02,F,,NUMBER,KG02,6
2018,VC_IHR_PSRCN,KG02,F,,NUMBER,KG02,1
2019,VC_IHR_PSRCN,KG02,F,,NUMBER,KG02,3
2020,VC_IHR_PSRCN,KG02,F,,NUMBER,KG02,3
2021,VC_IHR_PSRCN,KG02,F,,NUMBER,KG02,3
2022,VC_IHR_PSRCN,KG02,F,,NUMBER,KG02,4
2014,VC_IHR_PSRCN,KG04,,,NUMBER,KG04,14
2015,VC_IHR_PSRCN,KG04,,,NUMBER,KG04,11
2016,VC_IHR_PSRCN,KG04,,,NUMBER,KG04,6
2017,VC_IHR_PSRCN,KG04,,,NUMBER,KG04,6
2018,VC_IHR_PSRCN,KG04,,,NUMBER,KG04,5
2019,VC_IHR_PSRCN,KG04,,,NUMBER,KG04,5
2020,VC_IHR_PSRCN,KG04,,,NUMBER,KG04,7
2021,VC_IHR_PSRCN,KG04,,,NUMBER,KG04,7
2022,VC_IHR_PSRCN,KG04,,,NUMBER,KG04,10
2023,VC_IHR_PSRCN,KG04,,,NUMBER,KG04,2
2014,VC_IHR_PSRCN,KG04,M,,NUMBER,KG04,14
2015,VC_IHR_PSRCN,KG04,M,,NUMBER,KG04,7
2016,VC_IHR_PSRCN,KG04,M,,NUMBER,KG04,4
2017,VC_IHR_PSRCN,KG04,M,,NUMBER,KG04,4
2018,VC_IHR_PSRCN,KG04,M,,NUMBER,KG04,3
2019,VC_IHR_PSRCN,KG04,M,,NUMBER,KG04,4
2020,VC_IHR_PSRCN,KG04,M,,NUMBER,KG04,4
2021,VC_IHR_PSRCN,KG04,M,,NUMBER,KG04,4
2022,VC_IHR_PSRCN,KG04,M,,NUMBER,KG04,8
2015,VC_IHR_PSRCN,KG04,F,,NUMBER,KG04,4
2016,VC_IHR_PSRCN,KG04,F,,NUMBER,KG04,2
2017,VC_IHR_PSRCN,KG04,F,,NUMBER,KG04,2
2018,VC_IHR_PSRCN,KG04,F,,NUMBER,KG04,2
2019,VC_IHR_PSRCN,KG04,F,,NUMBER,KG04,1
2020,VC_IHR_PSRCN,KG04,F,,NUMBER,KG04,3
2021,VC_IHR_PSRCN,KG04,F,,NUMBER,KG04,3
2022,VC_IHR_PSRCN,KG04,F,,NUMBER,KG04,2
2014,VC_IHR_PSRCN,KG06,,,NUMBER,KG06,16
2015,VC_IHR_PSRCN,KG06,,,NUMBER,KG06,24
2016,VC_IHR_PSRCN,KG06,,,NUMBER,KG06,22
2017,VC_IHR_PSRCN,KG06,,,NUMBER,KG06,12
2018,VC_IHR_PSRCN,KG06,,,NUMBER,KG06,14
2019,VC_IHR_PSRCN,KG06,,,NUMBER,KG06,15
2020,VC_IHR_PSRCN,KG06,,,NUMBER,KG06,11
2021,VC_IHR_PSRCN,KG06,,,NUMBER,KG06,24
2022,VC_IHR_PSRCN,KG06,,,NUMBER,KG06,19
2023,VC_IHR_PSRCN,KG06,,,NUMBER,KG06,9
2014,VC_IHR_PSRCN,KG06,M,,NUMBER,KG06,13
2015,VC_IHR_PSRCN,KG06,M,,NUMBER,KG06,21
2016,VC_IHR_PSRCN,KG06,M,,NUMBER,KG06,16
2017,VC_IHR_PSRCN,KG06,M,,NUMBER,KG06,9
2018,VC_IHR_PSRCN,KG06,M,,NUMBER,KG06,11
2019,VC_IHR_PSRCN,KG06,M,,NUMBER,KG06,10
2020,VC_IHR_PSRCN,KG06,M,,NUMBER,KG06,7
2021,VC_IHR_PSRCN,KG06,M,,NUMBER,KG06,20
2022,VC_IHR_PSRCN,KG06,M,,NUMBER,KG06,16
2014,VC_IHR_PSRCN,KG06,F,,NUMBER,KG06,3
2015,VC_IHR_PSRCN,KG06,F,,NUMBER,KG06,3
2016,VC_IHR_PSRCN,KG06,F,,NUMBER,KG06,6
2017,VC_IHR_PSRCN,KG06,F,,NUMBER,KG06,3
2018,VC_IHR_PSRCN,KG06,F,,NUMBER,KG06,3
2019,VC_IHR_PSRCN,KG06,F,,NUMBER,KG06,5
2020,VC_IHR_PSRCN,KG06,F,,NUMBER,KG06,4
2021,VC_IHR_PSRCN,KG06,F,,NUMBER,KG06,4
2022,VC_IHR_PSRCN,KG06,F,,NUMBER,KG06,3
2014,VC_IHR_PSRCN,KG07,,,NUMBER,KG07,11
2015,VC_IHR_PSRCN,KG07,,,NUMBER,KG07,4
2016,VC_IHR_PSRCN,KG07,,,NUMBER,KG07,8
2017,VC_IHR_PSRCN,KG07,,,NUMBER,KG07,11
2018,VC_IHR_PSRCN,KG07,,,NUMBER,KG07,8
2019,VC_IHR_PSRCN,KG07,,,NUMBER,KG07,3
2020,VC_IHR_PSRCN,KG07,,,NUMBER,KG07,5
2021,VC_IHR_PSRCN,KG07,,,NUMBER,KG07,3
2022,VC_IHR_PSRCN,KG07,,,NUMBER,KG07,6
2023,VC_IHR_PSRCN,KG07,,,NUMBER,KG07,4
2014,VC_IHR_PSRCN,KG07,M,,NUMBER,KG07,6
2015,VC_IHR_PSRCN,KG07,M,,NUMBER,KG07,4
2016,VC_IHR_PSRCN,KG07,M,,NUMBER,KG07,7
2017,VC_IHR_PSRCN,KG07,M,,NUMBER,KG07,9
2018,VC_IHR_PSRCN,KG07,M,,NUMBER,KG07,7
2020,VC_IHR_PSRCN,KG07,M,,NUMBER,KG07,5
2021,VC_IHR_PSRCN,KG07,M,,NUMBER,KG07,2
2022,VC_IHR_PSRCN,KG07,M,,NUMBER,KG07,5
2014,VC_IHR_PSRCN,KG07,F,,NUMBER,KG07,5
2016,VC_IHR_PSRCN,KG07,F,,NUMBER,KG07,1
2017,VC_IHR_PSRCN,KG07,F,,NUMBER,KG07,2
2018,VC_IHR_PSRCN,KG07,F,,NUMBER,KG07,1
2019,VC_IHR_PSRCN,KG07,F,,NUMBER,KG07,3
2021,VC_IHR_PSRCN,KG07,F,,NUMBER,KG07,1
2022,VC_IHR_PSRCN,KG07,F,,NUMBER,KG07,1
2014,VC_IHR_PSRCN,KG08,,,NUMBER,KG08,101
2015,VC_IHR_PSRCN,KG08,,,NUMBER,KG08,103
2016,VC_IHR_PSRCN,KG08,,,NUMBER,KG08,95
2017,VC_IHR_PSRCN,KG08,,,NUMBER,KG08,89
2018,VC_IHR_PSRCN,KG08,,,NUMBER,KG08,72
2019,VC_IHR_PSRCN,KG08,,,NUMBER,KG08,49
2020,VC_IHR_PSRCN,KG08,,,NUMBER,KG08,52
2021,VC_IHR_PSRCN,KG08,,,NUMBER,KG08,60
2022,VC_IHR_PSRCN,KG08,,,NUMBER,KG08,62
2023,VC_IHR_PSRCN,KG08,,,NUMBER,KG08,35
2014,VC_IHR_PSRCN,KG08,M,,NUMBER,KG08,68
2015,VC_IHR_PSRCN,KG08,M,,NUMBER,KG08,82
2016,VC_IHR_PSRCN,KG08,M,,NUMBER,KG08,71
2017,VC_IHR_PSRCN,KG08,M,,NUMBER,KG08,78
2018,VC_IHR_PSRCN,KG08,M,,NUMBER,KG08,57
2019,VC_IHR_PSRCN,KG08,M,,NUMBER,KG08,32
2020,VC_IHR_PSRCN,KG08,M,,NUMBER,KG08,43
2021,VC_IHR_PSRCN,KG08,M,,NUMBER,KG08,50
2022,VC_IHR_PSRCN,KG08,M,,NUMBER,KG08,51
2014,VC_IHR_PSRCN,KG08,F,,NUMBER,KG08,33
2015,VC_IHR_PSRCN,KG08,F,,NUMBER,KG08,21
2016,VC_IHR_PSRCN,KG08,F,,NUMBER,KG08,24
2017,VC_IHR_PSRCN,KG08,F,,NUMBER,KG08,11
2018,VC_IHR_PSRCN,KG08,F,,NUMBER,KG08,15
2019,VC_IHR_PSRCN,KG08,F,,NUMBER,KG08,17
2020,VC_IHR_PSRCN,KG08,F,,NUMBER,KG08,9
2021,VC_IHR_PSRCN,KG08,F,,NUMBER,KG08,10
2022,VC_IHR_PSRCN,KG08,F,,NUMBER,KG08,11
2014,VC_IHR_PSRCN,KG11,,,NUMBER,KG11,76
2015,VC_IHR_PSRCN,KG11,,,NUMBER,KG11,67
2016,VC_IHR_PSRCN,KG11,,,NUMBER,KG11,55
2017,VC_IHR_PSRCN,KG11,,,NUMBER,KG11,69
2018,VC_IHR_PSRCN,KG11,,,NUMBER,KG11,44
2019,VC_IHR_PSRCN,KG11,,,NUMBER,KG11,32
2020,VC_IHR_PSRCN,KG11,,,NUMBER,KG11,30
2021,VC_IHR_PSRCN,KG11,,,NUMBER,KG11,40
2022,VC_IHR_PSRCN,KG11,,,NUMBER,KG11,48
2023,VC_IHR_PSRCN,KG11,,,NUMBER,KG11,19
2014,VC_IHR_PSRCN,KG11,M,,NUMBER,KG11,52
2015,VC_IHR_PSRCN,KG11,M,,NUMBER,KG11,43
2016,VC_IHR_PSRCN,KG11,M,,NUMBER,KG11,43
2017,VC_IHR_PSRCN,KG11,M,,NUMBER,KG11,45
2018,VC_IHR_PSRCN,KG11,M,,NUMBER,KG11,33
2019,VC_IHR_PSRCN,KG11,M,,NUMBER,KG11,28
2020,VC_IHR_PSRCN,KG11,M,,NUMBER,KG11,24
2021,VC_IHR_PSRCN,KG11,M,,NUMBER,KG11,30
2022,VC_IHR_PSRCN,KG11,M,,NUMBER,KG11,36
2014,VC_IHR_PSRCN,KG11,F,,NUMBER,KG11,24
2015,VC_IHR_PSRCN,KG11,F,,NUMBER,KG11,24
2016,VC_IHR_PSRCN,KG11,F,,NUMBER,KG11,12
2017,VC_IHR_PSRCN,KG11,F,,NUMBER,KG11,24
2018,VC_IHR_PSRCN,KG11,F,,NUMBER,KG11,11
2019,VC_IHR_PSRCN,KG11,F,,NUMBER,KG11,4
2020,VC_IHR_PSRCN,KG11,F,,NUMBER,KG11,6
2021,VC_IHR_PSRCN,KG11,F,,NUMBER,KG11,10
2022,VC_IHR_PSRCN,KG11,F,,NUMBER,KG11,12
2014,VC_IHR_PSRCN,KG21,,,NUMBER,KG21,20
2015,VC_IHR_PSRCN,KG21,,,NUMBER,KG21,12
2016,VC_IHR_PSRCN,KG21,,,NUMBER,KG21,12
2017,VC_IHR_PSRCN,KG21,,,NUMBER,KG21,20
2018,VC_IHR_PSRCN,KG21,,,NUMBER,KG21,12
2019,VC_IHR_PSRCN,KG21,,,NUMBER,KG21,10
2020,VC_IHR_PSRCN,KG21,,,NUMBER,KG21,5
2021,VC_IHR_PSRCN,KG21,,,NUMBER,KG21,6
2022,VC_IHR_PSRCN,KG21,,,NUMBER,KG21,6
2023,VC_IHR_PSRCN,KG21,,,NUMBER,KG21,9
2014,VC_IHR_PSRCN,KG21,M,,NUMBER,KG21,14
2015,VC_IHR_PSRCN,KG21,M,,NUMBER,KG21,8
2016,VC_IHR_PSRCN,KG21,M,,NUMBER,KG21,9
2017,VC_IHR_PSRCN,KG21,M,,NUMBER,KG21,16
2018,VC_IHR_PSRCN,KG21,M,,NUMBER,KG21,9
2019,VC_IHR_PSRCN,KG21,M,,NUMBER,KG21,8
2020,VC_IHR_PSRCN,KG21,M,,NUMBER,KG21,4
2021,VC_IHR_PSRCN,KG21,M,,NUMBER,KG21,4
2022,VC_IHR_PSRCN,KG21,M,,NUMBER,KG21,4
2014,VC_IHR_PSRCN,KG21,F,,NUMBER,KG21,6
2015,VC_IHR_PSRCN,KG21,F,,NUMBER,KG21,4
2016,VC_IHR_PSRCN,KG21,F,,NUMBER,KG21,3
2017,VC_IHR_PSRCN,KG21,F,,NUMBER,KG21,4
2018,VC_IHR_PSRCN,KG21,F,,NUMBER,KG21,3
2019,VC_IHR_PSRCN,KG21,F,,NUMBER,KG21,2
2020,VC_IHR_PSRCN,KG21,F,,NUMBER,KG21,1
2021,VC_IHR_PSRCN,KG21,F,,NUMBER,KG21,2
2022,VC_IHR_PSRCN,KG21,F,,NUMBER,KG21,2
2022,VC_IHR_PSRCN,,,Y0T17,NUMBER,,4
2023,VC_IHR_PSRCN,,,Y0T17,NUMBER,,7
2022,VC_IHR_PSRCN,,,Y18T29,NUMBER,,34
2023,VC_IHR_PSRCN,,,Y18T29,NUMBER,,14
2022,VC_IHR_PSRCN,,,Y30T39,NUMBER,,109
2023,VC_IHR_PSRCN,,,Y30T39,NUMBER,,65
2022,VC_IHR_PSRCN,,,Y_GE70,NUMBER,,7
2023,VC_IHR_PSRCN,,,Y_GE70,NUMBER,,2
