Year,SERIES,Value
2010,_L_KG_050201_1A1,1308
2011,_L_KG_050201_1A1,1453
2012,_L_KG_050201_1A1,1900
2013,_L_KG_050201_1A1,1589
2014,_L_KG_050201_1A1,1988
2015,_L_KG_050201_1A1,936
2016,_L_KG_050201_1A1,1172
2017,_L_KG_050201_1A1,1382
2018,_L_KG_050201_1A1,1305
2019,_L_KG_050201_1A1,1764
2010,_L_KG_050201_1A2,68
2011,_L_KG_050201_1A2,155
2012,_L_KG_050201_1A2,16
2013,_L_KG_050201_1A2,48
2014,_L_KG_050201_1A2,35
2015,_L_KG_050201_1A2,12
2016,_L_KG_050201_1A2,2
2017,_L_KG_050201_1A2,1
2019,_L_KG_050201_1A2,2
2010,_L_KG_050201_1A3,401
2011,_L_KG_050201_1A3,581
2012,_L_KG_050201_1A3,509
2013,_L_KG_050201_1A3,508
2014,_L_KG_050201_1A3,495
2015,_L_KG_050201_1A3,666
2016,_L_KG_050201_1A3,657
2017,_L_KG_050201_1A3,629
2018,_L_KG_050201_1A3,555
2019,_L_KG_050201_1A3,539
2010,_L_KG_050201_1A4,414
2011,_L_KG_050201_1A4,320
2012,_L_KG_050201_1A4,498
2013,_L_KG_050201_1A4,822
2014,_L_KG_050201_1A4,570
2015,_L_KG_050201_1A4,485
2016,_L_KG_050201_1A4,372
2017,_L_KG_050201_1A4,176
2018,_L_KG_050201_1A4,47
2019,_L_KG_050201_1A4,211
2010,_L_KG_050201_1A5,445
2011,_L_KG_050201_1A5,491
2012,_L_KG_050201_1A5,504
2013,_L_KG_050201_1A5,600
2014,_L_KG_050201_1A5,731
2015,_L_KG_050201_1A5,1896
2016,_L_KG_050201_1A5,1404
2017,_L_KG_050201_1A5,1084
2018,_L_KG_050201_1A5,970
2019,_L_KG_050201_1A5,939
