Value,en,Disaggregation combinations using this value,Number of indicators
Амфибии и рептилии,Амфибии и рептилии,1,1
Млекопитающие,Млекопитающие,1,1
Насекомые,Насекомые,1,1
Птицы,Птицы,1,1
Растения и грибы,Растения и грибы,1,1
Рыбы,Рыбы,1,1
