Value,en,Disaggregation combinations using this value,Number of indicators
Взносы/отчисления на социальные нужды,Взносы/отчисления на социальные нужды,1,1
"Доходы, всего","Доходы, всего",1,1
Доходы от продажи нефинансовых активов,Доходы от продажи нефинансовых активов,1,1
Налоговые доходы,Налоговые доходы,1,1
Неналоговые доходы,Неналоговые доходы,1,1
Полученные официальные траснферты,Полученные официальные траснферты,1,1
