Indicator
#1-b-1-1
#11-6-1-1a
#15-3-1-1
#15-5-1-1
#15-7-1-1
#15-b-1-1
#15-c-1-1
#16-6-1
#17-1-1
#17-6-2
#3-4-1
#4-1-1-1a
#4-4-1
#4-b-1-1
#4-c-1-1
#5-2-1-1b
#6-4-2-1
#8-7-1
#9-1-2
#9-4-1-1
