Value,Disaggregation combinations using this value,Number of indicators
CL_ACTIVITY.ISIC4_A,6,5
CL_ACTIVITY.ISIC4_B,4,3
CL_ACTIVITY.ISIC4_BTE,2,2
CL_ACTIVITY.ISIC4_C,4,3
CL_ACTIVITY.ISIC4_D,4,3
CL_ACTIVITY.ISIC4_E,4,3
CL_ACTIVITY.ISIC4_F,5,4
CL_ACTIVITY.ISIC4_G,4,3
CL_ACTIVITY.ISIC4_H,4,3
CL_ACTIVITY.ISIC4_I,4,3
CL_ACTIVITY.ISIC4_J,4,3
CL_ACTIVITY.ISIC4_K,4,3
CL_ACTIVITY.ISIC4_L,4,3
CL_ACTIVITY.ISIC4_M,4,3
CL_ACTIVITY.ISIC4_N,4,3
CL_ACTIVITY.ISIC4_O,3,2
CL_ACTIVITY.ISIC4_P,4,3
CL_ACTIVITY.ISIC4_Q,4,3
CL_ACTIVITY.ISIC4_R,4,3
CL_ACTIVITY.ISIC4_S,5,4
CL_ACTIVITY.ISIC4_T,1,1
CL_ACTIVITY.ISIC4_U,1,1
