Value,Disaggregation combinations using this value,Number of indicators
Communication equipment (telecommunication equipment),1,1
Computer and peripheral equipment,1,1
Consumer electronics (audio and video equipment),1,1
Eggs and their processed products,2,1
Eggs,1,1
Fish and fish products,1,1
Fish and their processed products,2,1
Fruits and berries,1,1
Fruits-berries and processed products,2,1
Grain and processed products,2,1
"Meat and meat products in meat equivalent, including bacon and offal",3,2
Milk and dairy products in milk equivalent,3,2
Other electronic components and ICT products,1,1
Potatoes and processed products,2,1
Potatoes,1,1
Sugar,3,2
Vegetable oils,3,2
Vegetables and gourds,1,1
Vegetables and processed products,2,1
Wheat and wheat products in flour equivalent,3,2
