Value,Disaggregation combinations using this value,Number of indicators
ISIC4_A,6,5
ISIC4_B,4,3
ISIC4_BTE,2,2
ISIC4_C,3,2
ISIC4_D,4,3
ISIC4_E,3,2
ISIC4_F,4,3
ISIC4_G,3,2
ISIC4_H,3,2
ISIC4_I,3,2
ISIC4_J,3,2
ISIC4_K,3,2
ISIC4_L,3,2
ISIC4_M,3,2
ISIC4_N,3,2
ISIC4_O,3,2
ISIC4_P,3,2
ISIC4_Q,3,2
ISIC4_R,3,2
ISIC4_S,4,3
ISIC4_T,1,1
ISIC4_U,1,1
