Value,en,Disaggregation combinations using this value,Number of indicators
Азиатский Банк Развития,Азиатский Банк Развития,1,1
"АКГ (ИБР, СФР, ОПЕК, ФРАД, КФАЭР)","АКГ (ИБР, СФР, ОПЕК, ФРАД, КФАЭР)",1,1
Всемирный банк,Всемирный банк,1,1
Германский Банк Развития KfW,Германский Банк Развития KfW,1,1
"Другие (ЕАБР, Швейцария, МФСР и т.д.)","Другие (ЕАБР, Швейцария, МФСР и т.д.)",1,1
Европейский банк реконструкции и развития,Европейский банк реконструкции и развития,1,1
Китайская Народная Республика,Китайская Народная Республика,1,1
