Indicator
#1-1-1-1a
#16-2-1
#16-9-1
#2-1-2-1d
#2-2-1
#2-2-2
#2-3-2-1
#2-3-3-1c
#3-7-1
#4-2-1
#6-2-1
#6-2-1-1
#7-1-2
