Indicator,Disaggregation combinations using this value
#1-2-1,10
#1-2-1-1a,1
#1-2-2,1
#1-3-1-1e,1
#11-2-1,1
#13-1-1,10
#16-1-4,1
#16-2-1,2
#16-5-1-1b,2
#16-7-1-1,3
#16-9-1,1
#17-8-1,1
#2-2-1,2
#2-2-2,4
#3-2-1,10
#3-2-2,10
#3-3-1,10
#3-3-2,10
#3-3-4,10
#3-4-1,40
#3-5-1-1,10
#3-5-2-1,10
#3-6-1,10
#3-9-1-1,10
#3-a-1,1
#3-c-1,10
#4-1-1-1a,16
#4-2-1,2
#4-3-1-1,3
#4-4-1-1a,2
#5-2-1-1b,1
#5-4-1,3
#5-b-1,1
#7-1-1,1
#8-10-2,1
#8-3-1-1,1
#8-5-1-1,20
#8-5-2,10
#8-6-1,1
#8-7-1,1
#8-8-1,20
#9-2-2,1
