Value,Disaggregation combinations using this value,Number of indicators
KG02,126,70
KG03,126,70
KG04,126,70
KG05,125,70
KG06,124,68
KG07,125,69
KG08,126,70
KG11,123,69
KG21,122,69
REF_AREA,1,1
