Indicator
#1-3-1-1c
#1-3-1-1f
#1-3-1-1g
#1-a-2
#1-b-1-1
#10-2-1
#10-3-1-1a
#10-5-1-1
#15-2-1
#15-3-1-1
#16-1-1
#16-4-2-1
#16-5-1-1b
#16-7-1-1
#2-1-2
#2-2-2
#2-2-3
#2-4-1-1
#3-b-1
#5-2-1-1a
#5-3-1
#5-4-1
#6-1-1-2b
#6-4-1-2
#7-2-1-1
#7-3-1-2
#8-10-1
#8-10-2-2
#8-3-1-2
#8-8-1
#9-1-2
#9-2-1
#9-c-1
