Value,Disaggregation combinations using this value,Number of indicators
копировали или перемещали файл или папку,2,1
"отправляли электронное письмо с вложенным файлом, например, с документом, изображением или видео",2,1
"отыскивали, загружали, устанавливали и настраивали программное обеспечение",2,1
переносили файл между компьютером и другим устройством,2,1
писали компьютерную программу на каком-нибудь языке программирования,2,1
"подключали и устанавливали новое устройство, например, модем, камеру или принтер",2,1
пользовались базовой арифметической формулой в электронной таблице,2,1
"пользовались функцией ""копирование - вставка"" для копирования или перемещения информации внутри документа",2,1
"создавали электронную презентацию при помощи программы для создания презентаций, включающую в себя текст, изображения, аудио, видео или графики",2,1
