Indicator
#1-2-1
#1-2-1-1a
#1-2-2
#1-3-1-1e
#10-2-1
#11-2-1
#13-1-1
#16-1-4
#16-2-1
#16-5-1-1b
#16-9-1
#17-8-1
#2-2-1
#3-3-2
#3-3-4
#3-5-1-1
#3-5-2-1
#3-9-1-1
#4-1-1-1a
#4-2-1
#4-3-1-1
#4-4-1-1a
#5-2-1-1b
#5-b-1
#7-1-1
#8-10-2
#8-3-1-1
#8-5-1-1
#8-5-2
#8-6-1
#8-7-1
#8-8-1
#9-2-2
