Value,Disaggregation combinations using this value,Number of indicators
CL_QUANTILE.B40,1,1
CL_QUANTILE.B50,18,1
CL_QUANTILE.Q1,18,17
CL_QUANTILE.Q2,18,17
CL_QUANTILE.Q3,18,17
CL_QUANTILE.Q4,18,17
CL_QUANTILE.Q5,18,17
