Value,Disaggregation combinations using this value,Number of indicators
Домен 1. Права мигрантов,1,1
Домен 2. Общегосударственная/ основанная на фактических данных политика,1,1
Домен 3. Сотрудничество и партнерство,1,1
Домен 4. Социально-экономическое благополучие,1,1
Домен 5. Оперативность измерения кризисов,1,1
"Домен 6. Безопасная, упорядоченная и регулярная миграция",1,1
Общий,1,1
