Value,Disaggregation combinations using this value,Number of indicators
CL_AREA.KG02,96,63
CL_AREA.KG03,96,63
CL_AREA.KG04,96,63
CL_AREA.KG05,95,63
CL_AREA.KG06,95,63
CL_AREA.KG07,94,63
CL_AREA.KG08,96,63
CL_AREA.KG11,93,62
CL_AREA.KG21,92,62
