Indicator,Disaggregation combinations using this value
#1-5-1,10
#10-2-1,1
#11-2-1,1
#11-5-1,10
#16-1-3-1,1
#16-1-4,1
#16-2-1,1
#16-7-1,3
#17-8-1,1
#5-2-1-1b,1
#7-1-1,1
#8-10-2,1
#8-7-1,1
