Value,Disaggregation combinations using this value,Number of indicators
Kilowatt-hours per 1mn som,1,1
Kilowatt-hours,1,1
Local currency,2,2
Metric Tons,6,1
Million of cubic metres per annum,10,1
Number,18,4
"Per 100,000 population",10,1
Percent,12,3
Thousands kilowatt-hours per 1mn som,2,1
