Value,Disaggregation combinations using this value,Number of indicators
Batken,125,70
Bishkek (city),123,69
Chui,126,70
Issyk-Kul,126,70
Jalal-Abad,126,70
Naryn,126,70
Osh (city),122,69
Osh,127,69
Talas,124,70
