Year,Тип продукта,Value
2019,,2.093541
2020,,1.776893
2021,,1.466937
2019,Компьютерное и периферийное оборудование,0.8758
2020,Компьютерное и периферийное оборудование,0.704303
2021,Компьютерное и периферийное оборудование,0.664276
2019,Коммуникационное оборудование (оборудование электросвязи),0.916657
2020,Коммуникационное оборудование (оборудование электросвязи),0.731091
2021,Коммуникационное оборудование (оборудование электросвязи),0.453788
2019,Бытовая электронная техника (аудио и видео оборудование),0.216403
2020,Бытовая электронная техника (аудио и видео оборудование),0.261201
2021,Бытовая электронная техника (аудио и видео оборудование),0.289615
2019,Прочие электронные компоненты и товары сферы ИКТ,0.084681
2020,Прочие электронные компоненты и товары сферы ИКТ,0.080297
2021,Прочие электронные компоненты и товары сферы ИКТ,0.059258
