Year,SERIES,Value
2015,Carbon dioxide emissions from fuel combustion,10275.014
2016,Carbon dioxide emissions from fuel combustion,8840.465
2017,Carbon dioxide emissions from fuel combustion,9449.068
2018,Carbon dioxide emissions from fuel combustion,18334.32
2019,Carbon dioxide emissions from fuel combustion,16586.26
2020,Carbon dioxide emissions from fuel combustion,16828.16
2021,Carbon dioxide emissions from fuel combustion,18761.5
2022,Carbon dioxide emissions from fuel combustion,19075.4
2023,Carbon dioxide emissions from fuel combustion,19374.16
2015,Carbon dioxide emissions per unit of GDP,2.386822
2016,Carbon dioxide emissions per unit of GDP,1.855949
2017,Carbon dioxide emissions per unit of GDP,1.781244
2018,Carbon dioxide emissions per unit of GDP,0.0322
2019,Carbon dioxide emissions per unit of GDP,0.0268
2020,Carbon dioxide emissions per unit of GDP,0.0278
2021,Carbon dioxide emissions per unit of GDP,0.0259
2022,Carbon dioxide emissions per unit of GDP,0.0208
2023,Carbon dioxide emissions per unit of GDP,0.0158
2015,Carbon dioxide emissions per unit of manufacturing value added,1.560781
2016,Carbon dioxide emissions per unit of manufacturing value added,1.29663
2017,Carbon dioxide emissions per unit of manufacturing value added,1.355711
2018,Carbon dioxide emissions per unit of manufacturing value added,0.2256
2019,Carbon dioxide emissions per unit of manufacturing value added,0.1822
2020,Carbon dioxide emissions per unit of manufacturing value added,0.1935
2021,Carbon dioxide emissions per unit of manufacturing value added,0.196
2022,Carbon dioxide emissions per unit of manufacturing value added,0.1673
