Year,Value
2007,106.9
2008,108.3
2009,102.4
2010,98.4
2011,104.3
2012,98.8
2013,111.3
2014,101.4
2015,101.8
2016,105.7
2017,105.4
2018,103.6
2019,102.9
2020,91.892815
2021,101.530748
2022,109.270531
