Year,Value,GeoCode
2007,105,
2008,108,
2009,91,
2010,90,
2011,80,
2012,79,
2013,64,
2014,68,
2015,70,
2016,60,
2017,59,
2018,63,
2019,55,
2020,50,
2021,61,
2022,37,
2023,33,
