Year,Value
2010,29.6
2011,290.0
2012,300.0
2013,28.3
2014,26.8
2015,270.0
2016,28.4
2017,26.8
2018,26.1
2019,23.2
2020,25.8
2021,24.1
2022,24.5
2023,23.4
