Year,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,GeoCode,Value
2018,,,,,,,,57.9
2019,,,,,,,,64.352075
2020,,,,,,,,66.8
2021,,,,,,,,67.138142
2022,,,,,,,,68.403652
2023,,,,,,,,69.935153
2018,,,,U,,,,50.7
2019,,,,U,,,,59.596564
2020,,,,U,,,,61.4
2021,,,,U,,,,59.586135
2022,,,,U,,,,64.254057
2023,,,,U,,,,66.022628
2018,,,,R,,,,62.8
2019,,,,R,,,,67.506663
2020,,,,R,,,,70.3
2021,,,,R,,,,72.469607
2022,,,,R,,,,71.198044
2023,,,,R,,,,72.445374
2018,,M,,,,,,67.4
2019,,M,,,,,,72.727756
2020,,M,,,,,,76.1
2021,,M,,,,,,76.571506
2022,,M,,,,,,77.942907
2023,,M,,,,,,77.69388
2018,,F,,,,,,44.7
2019,,F,,,,,,52.478851
2020,,F,,,,,,54.0
2021,,F,,,,,,53.94632
2022,,F,,,,,,54.151615
2023,,F,,,,,,58.471471
2018,KG05,,,,,,KG05,63.7
2019,KG05,,,,,,KG05,71.63582
2020,KG05,,,,,,KG05,65.3
2021,KG05,,,,,,KG05,60.920964
2022,KG05,,,,,,KG05,64.918897
2023,KG05,,,,,,KG05,73.922135
2018,KG03,,,,,,KG03,46.2
2019,KG03,,,,,,KG03,54.214346
2020,KG03,,,,,,KG03,48.1
2021,KG03,,,,,,KG03,53.116412
2022,KG03,,,,,,KG03,55.77883
2023,KG03,,,,,,KG03,66.937405
2018,KG02,,,,,,KG02,69.3
2019,KG02,,,,,,KG02,72.71323
2020,KG02,,,,,,KG02,70.7
2021,KG02,,,,,,KG02,71.759952
2022,KG02,,,,,,KG02,72.620645
2023,KG02,,,,,,KG02,73.5575
2018,KG04,,,,,,KG04,71.9
2019,KG04,,,,,,KG04,78.330797
2020,KG04,,,,,,KG04,78.3
2021,KG04,,,,,,KG04,73.18
2022,KG04,,,,,,KG04,66.437204
2023,KG04,,,,,,KG04,81.455701
2018,KG06,,,,,,KG06,70.4
2019,KG06,,,,,,KG06,73.833054
2020,KG06,,,,,,KG06,88.8
2021,KG06,,,,,,KG06,97.39384
2022,KG06,,,,,,KG06,98.593066
2023,KG06,,,,,,KG06,85.3261
2018,KG07,,,,,,KG07,73.3
2019,KG07,,,,,,KG07,88.247575
2020,KG07,,,,,,KG07,92.9
2021,KG07,,,,,,KG07,91.523816
2022,KG07,,,,,,KG07,94.529819
2023,KG07,,,,,,KG07,93.581615
2018,KG08,,,,,,KG08,69.3
2019,KG08,,,,,,KG08,65.741182
2020,KG08,,,,,,KG08,71.4
2021,KG08,,,,,,KG08,62.978228
2022,KG08,,,,,,KG08,45.798126
2023,KG08,,,,,,KG08,45.863239
2018,KG11,,,,,,KG11,31.2
2019,KG11,,,,,,KG11,45.046976
2020,KG11,,,,,,KG11,47.4
2021,KG11,,,,,,KG11,45.051243
2022,KG11,,,,,,KG11,55.958301
2023,KG11,,,,,,KG11,57.948305
2018,KG21,,,,,,KG21,86.7
2019,KG21,,,,,,KG21,98.677796
2020,KG21,,,,,,KG21,99.4
2021,KG21,,,,,,KG21,100.0
2022,KG21,,,,,,KG21,99.010302
2023,KG21,,,,,,KG21,99.882025
2018,,,Y15T28,,,,,56.6
2019,,,Y15T28,,,,,61.760682
2020,,,Y15T28,,,,,64.1
2021,,,Y15T28,,,,,66.405328
2022,,,Y15T28,,,,,67.893488
2023,,,Y15T28,,,,,70.69137
2018,,,Y29T62,,,,,59.4
2019,,,Y29T62,,,,,66.203849
2020,,,Y29T62,,,,,68.7
2021,,,Y29T62,,,,,68.279053
2022,,,Y29T62,,,,,69.375508
2023,,,Y29T62,,,,,71.098645
2018,,,Y_GE58,,,,,54.1
2019,,,Y_GE58,,,,,61.942673
2020,,,Y_GE58,,,,,64.5
2021,,,Y_GE58,,,,,64.347718
2022,,,Y_GE58,,,,,65.680272
2023,,,Y_GE58,,,,,64.894755
2018,,,,,,ISCED11_1,,58.8
2019,,,,,,ISCED11_1,,63.721132
2020,,,,,,ISCED11_1,,69.8
