Year,Value
2007,4.0
2008,4.6
2009,6.9
2010,6.8
2011,6.2
2012,6.7
2013,7.2
2014,6.8
2015,4.0
2016,5.4
2017,5.5
2018,6.2
2019,6.5
2020,8.0
2021,5.5
2022,7.1
2023,6.4
