Year,Множитель,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2010,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Воздушный,Число,814.2
2014,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Воздушный,Число,2180.0
2015,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Воздушный,Число,1966.1
2016,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Воздушный,Число,1801.4
2017,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Воздушный,Число,2615.2
2018,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Воздушный,Число,2396.1
2019,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Воздушный,Число,1707.0
2020,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Воздушный,Число,537.7
2021,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Воздушный,Число,1090.0
2007,Миллионы,Объем грузовых перевозок (тонн-километров),,Метрические тонны,2021.6
2008,Миллионы,Объем грузовых перевозок (тонн-километров),,Метрические тонны,2338.3
2009,Миллионы,Объем грузовых перевозок (тонн-километров),,Метрические тонны,2140.7
2010,Миллионы,Объем грузовых перевозок (тонн-километров),,Метрические тонны,2178.1
2014,Миллионы,Объем грузовых перевозок (тонн-километров),,Метрические тонны,2497.1
2015,Миллионы,Объем грузовых перевозок (тонн-километров),,Метрические тонны,2525.1
2016,Миллионы,Объем грузовых перевозок (тонн-километров),,Метрические тонны,2466.4
2017,Миллионы,Объем грузовых перевозок (тонн-километров),,Метрические тонны,2641.0
2018,Миллионы,Объем грузовых перевозок (тонн-километров),,Метрические тонны,2777.3
2019,Миллионы,Объем грузовых перевозок (тонн-километров),,Метрические тонны,2913.6
2020,Миллионы,Объем грузовых перевозок (тонн-километров),,Метрические тонны,2434.5
2021,Миллионы,Объем грузовых перевозок (тонн-километров),,Метрические тонны,2620.2
2007,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Железнодорожный,Метрические тонны,848.9
2008,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Железнодорожный,Метрические тонны,945.5
2009,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Железнодорожный,Метрические тонны,744.5
2010,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Железнодорожный,Метрические тонны,737.7
2014,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Железнодорожный,Метрические тонны,1010.0
2015,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Железнодорожный,Метрические тонны,917.8
2016,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Железнодорожный,Метрические тонны,807.0
2017,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Железнодорожный,Метрические тонны,937.3
2018,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Железнодорожный,Метрические тонны,950.7
2019,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Железнодорожный,Метрические тонны,870.4
2020,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Железнодорожный,Метрические тонны,937.5
2021,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Железнодорожный,Метрические тонны,1003.1
2007,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Автомобильный,Метрические тонны,902.5
2008,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Автомобильный,Метрические тонны,1113.9
2009,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Автомобильный,Метрические тонны,1256.4
2010,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Автомобильный,Метрические тонны,1281.5
2014,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Автомобильный,Метрические тонны,1264.7
2015,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Автомобильный,Метрические тонны,1401.7
2016,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Автомобильный,Метрические тонны,1501.3
2017,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Автомобильный,Метрические тонны,1527.1
2018,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Автомобильный,Метрические тонны,1624.0
2019,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Автомобильный,Метрические тонны,1841.9
2020,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Автомобильный,Метрические тонны,1281.2
2021,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Автомобильный,Метрические тонны,1348.4
2007,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Трубопроводный,Метрические тонны,218.3
2008,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Трубопроводный,Метрические тонны,211.5
