Year,Территория,Value
2007,,21.062709
2008,,19.633713
2009,,18.141025
2010,,16.397145
2011,,15.346363
2012,,14.627093
2013,,14.891975
2014,,15.641512
2015,,13.997993
2016,,12.670713
2017,,11.795339
2018,,12.0
2019,,11.8
2007,Баткенская область,20.020582
2008,Баткенская область,20.371252
2009,Баткенская область,17.752959
2010,Баткенская область,17.905103
2011,Баткенская область,15.911964
2012,Баткенская область,13.333333
2013,Баткенская область,13.29229
2014,Баткенская область,12.498302
2015,Баткенская область,11.21983
2016,Баткенская область,10.61082
2017,Баткенская область,10.611457
2018,Баткенская область,9.3
2019,Баткенская область,10.5
2007,Джалал-Абадская область,17.491993
2008,Джалал-Абадская область,13.828495
2009,Джалал-Абадская область,13.109231
2010,Джалал-Абадская область,11.41671
2011,Джалал-Абадская область,11.64604
2012,Джалал-Абадская область,11.539979
2013,Джалал-Абадская область,13.183481
2014,Джалал-Абадская область,14.415326
2015,Джалал-Абадская область,12.659814
2016,Джалал-Абадская область,11.493097
2017,Джалал-Абадская область,9.918574
2018,Джалал-Абадская область,10.2
2019,Джалал-Абадская область,11.7
2007,Иссык-Кульская область,17.433752
2008,Иссык-Кульская область,18.44146
2009,Иссык-Кульская область,16.389014
2010,Иссык-Кульская область,15.933099
2011,Иссык-Кульская область,16.267429
2012,Иссык-Кульская область,14.75265
2013,Иссык-Кульская область,11.261052
2014,Иссык-Кульская область,9.306183
2015,Иссык-Кульская область,12.182109
2016,Иссык-Кульская область,8.420139
2017,Иссык-Кульская область,9.423503
2018,Иссык-Кульская область,8.5
2019,Иссык-Кульская область,9.5
2007,Нарынская область,17.912773
2008,Нарынская область,16.943931
2009,Нарынская область,14.464366
2010,Нарынская область,12.251149
2011,Нарынская область,10.273497
2012,Нарынская область,12.369975
2013,Нарынская область,11.58413
2014,Нарынская область,12.209828
2015,Нарынская область,8.72093
2016,Нарынская область,11.227763
2017,Нарынская область,9.984399
2018,Нарынская область,8.2
2019,Нарынская область,6.6
2007,Ошская область,12.608002
2008,Ошская область,13.417951
2009,Ошская область,10.630954
2010,Ошская область,10.695524
2011,Ошская область,8.214286
2012,Ошская область,6.444122
2013,Ошская область,5.10597
2014,Ошская область,5.045162
2015,Ошская область,4.312545
2016,Ошская область,3.485959
2017,Ошская область,3.098263
2018,Ошская область,3.4
2019,Ошская область,2.8
2007,Таласская область,28.86102
2008,Таласская область,24.548244
2009,Таласская область,25.589948
2010,Таласская область,19.147084
2011,Таласская область,16.905249
2012,Таласская область,15.341309
2013,Таласская область,19.851852
2014,Таласская область,16.656752
2015,Таласская область,12.700333
2016,Таласская область,12.33604
2017,Таласская область,12.267905
2018,Таласская область,16.7
2019,Таласская область,14.8
2007,Чуйская область,21.918468
2008,Чуйская область,19.965577
2009,Чуйская область,18.539076
2010,Чуйская область,16.0724
2011,Чуйская область,15.37476
2012,Чуйская область,14.294878
2013,Чуйская область,14.537283
2014,Чуйская область,13.354037
2015,Чуйская область,12.614628
2016,Чуйская область,10.407594
2017,Чуйская область,6.655345
2018,Чуйская область,6.8
2019,Чуйская область,7.6
2007,г. Бишкек,31.519613
2008,г. Бишкек,29.87456
2009,г. Бишкек,27.261589
2010,г. Бишкек,25.128553
2011,г. Бишкек,24.125336
2012,г. Бишкек,21.38653
2013,г. Бишкек,22.854904
2014,г. Бишкек,25.985737
2015,г. Бишкек,23.028611
2016,г. Бишкек,22.846558
2017,г. Бишкек,23.162225
2018,г. Бишкек,22.9
2019,г. Бишкек,19.9
2007,г. Ош,49.506943
2008,г. Ош,42.992096
2009,г. Ош,49.784765
2010,г. Ош,42.06501
2011,г. Ош,46.632124
2012,г. Ош,53.846154
2013,г. Ош,55.639098
2014,г. Ош,63.961301
2015,г. Ош,61.963775
2016,г. Ош,50.222162
2017,г. Ош,46.864858
2018,г. Ош,34.2
2019,г. Ош,33.0
