Year,Units,Value
2007,Процент,9.9
2008,Процент,13.2
2009,Процент,14.2
2010,Процент,16.9
2011,Процент,18.3
2012,Процент,12.1
2013,Процент,15.8
2014,Процент,13.7
2015,Процент,14.0
2016,Процент,15.4
2017,Процент,15.0
2018,Процент,14.3
2007,Местная валюта,2.8
2008,Местная валюта,4.9
2009,Местная валюта,5.6
2010,Местная валюта,7.2
2011,Местная валюта,9.9
2012,Местная валюта,7.0
2013,Местная валюта,10.3
2014,Местная валюта,9.8
2015,Местная валюта,10.6
2016,Местная валюта,12.6
2017,Местная валюта,13.4
2018,Местная валюта,13.4
