Year,Units,Value
2010,Число,18.0
2011,Число,18.0
2012,Число,19.0
2013,Число,19.0
2014,Число,21.0
2015,Число,22.0
2016,Число,24.0
2017,Число,23.0
2018,Число,22.0
2010,Местная валюта,477.2
2011,Местная валюта,292.9
2012,Местная валюта,337.8
2013,Местная валюта,405.4
2014,Местная валюта,1003.2
2015,Местная валюта,967.0
2016,Местная валюта,921.3
2017,Местная валюта,1004.4
2018,Местная валюта,1092.7
