Year,Value,Units,Series
2007,470.7,Число,Объем пассажирских перевозок (пассажиро-километры)
2008,504.3,Число,Объем пассажирских перевозок (пассажиро-километры)
2009,545.7,Число,Объем пассажирских перевозок (пассажиро-километры)
2010,532.9,Число,Объем пассажирских перевозок (пассажиро-километры)
2011,566.6,Число,Объем пассажирских перевозок (пассажиро-километры)
2012,603.1,Число,Объем пассажирских перевозок (пассажиро-километры)
2013,619.0,Число,Объем пассажирских перевозок (пассажиро-километры)
2014,638.6,Число,Объем пассажирских перевозок (пассажиро-километры)
2015,653.1,Число,Объем пассажирских перевозок (пассажиро-километры)
2016,682.2,Число,Объем пассажирских перевозок (пассажиро-километры)
2017,709.9,Число,Объем пассажирских перевозок (пассажиро-километры)
2018,731.6,Число,Объем пассажирских перевозок (пассажиро-километры)
2019,756.6,Число,Объем пассажирских перевозок (пассажиро-километры)
2007,30.0,Метрические тонны,Объем грузовых перевозок (тонн-километров)
2008,34.3,Метрические тонны,Объем грузовых перевозок (тонн-километров)
2009,36.3,Метрические тонны,Объем грузовых перевозок (тонн-километров)
2010,36.9,Метрические тонны,Объем грузовых перевозок (тонн-километров)
2011,37.7,Метрические тонны,Объем грузовых перевозок (тонн-километров)
2012,39.8,Метрические тонны,Объем грузовых перевозок (тонн-километров)
2013,41.0,Метрические тонны,Объем грузовых перевозок (тонн-километров)
2014,28.9,Метрические тонны,Объем грузовых перевозок (тонн-километров)
2015,29.7,Метрические тонны,Объем грузовых перевозок (тонн-километров)
2016,31.2,Метрические тонны,Объем грузовых перевозок (тонн-километров)
2017,31.9,Метрические тонны,Объем грузовых перевозок (тонн-километров)
2018,33.0,Метрические тонны,Объем грузовых перевозок (тонн-километров)
2019,34.2,Метрические тонны,Объем грузовых перевозок (тонн-километров)
