Year,Value,GeoCode,SERIES
2015,3390.2,,"Медианное значение, сомов в месяц на душу населения"
2016,3572.5,,"Медианное значение, сомов в месяц на душу населения"
2017,3991.9,,"Медианное значение, сомов в месяц на душу населения"
2018,4466.4,,"Медианное значение, сомов в месяц на душу населения"
2019,4774.194444,,"Медианное значение, сомов в месяц на душу населения"
2020,4700.5,,"Медианное значение, сомов в месяц на душу населения"
2021,5356.3,,"Медианное значение, сомов в месяц на душу населения"
2022,6512.5,,"Медианное значение, сомов в месяц на душу населения"
