Year,Value,SERIES
2016,153,Количество добровольно сданного огнестрельного оружия
2017,196,Количество добровольно сданного огнестрельного оружия
2018,232,Количество добровольно сданного огнестрельного оружия
2019,146,Количество добровольно сданного огнестрельного оружия
2020,158,Количество добровольно сданного огнестрельного оружия
2021,149,Количество добровольно сданного огнестрельного оружия
2016,217,Количество изъятого огнестрельного оружия
2017,399,Количество изъятого огнестрельного оружия
2018,296,Количество изъятого огнестрельного оружия
2019,127,Количество изъятого огнестрельного оружия
2020,397,Количество изъятого огнестрельного оружия
2021,159,Количество изъятого огнестрельного оружия
