Year,Value,SERIES
2015,10275.014,Выбросы углекислого газа от сжигания топлива
2016,8840.465,Выбросы углекислого газа от сжигания топлива
2017,9449.068,Выбросы углекислого газа от сжигания топлива
2018,18334.32,Выбросы углекислого газа от сжигания топлива
2019,16586.26,Выбросы углекислого газа от сжигания топлива
2020,16828.16,Выбросы углекислого газа от сжигания топлива
2021,18761.5,Выбросы углекислого газа от сжигания топлива
2022,19075.4,Выбросы углекислого газа от сжигания топлива
2023,19374.16,Выбросы углекислого газа от сжигания топлива
2015,2.386822,Выбросы углекислого газа на единицу ВВП
2016,1.855949,Выбросы углекислого газа на единицу ВВП
2017,1.781244,Выбросы углекислого газа на единицу ВВП
2018,0.0322,Выбросы углекислого газа на единицу ВВП
2019,0.0268,Выбросы углекислого газа на единицу ВВП
2020,0.0278,Выбросы углекислого газа на единицу ВВП
2021,0.0259,Выбросы углекислого газа на единицу ВВП
2022,0.0208,Выбросы углекислого газа на единицу ВВП
2023,0.0158,Выбросы углекислого газа на единицу ВВП
2015,1.560781,Выбросы углекислого газа на единицу добавленной стоимости производства
2016,1.29663,Выбросы углекислого газа на единицу добавленной стоимости производства
2017,1.355711,Выбросы углекислого газа на единицу добавленной стоимости производства
2018,0.2256,Выбросы углекислого газа на единицу добавленной стоимости производства
2019,0.1822,Выбросы углекислого газа на единицу добавленной стоимости производства
2020,0.1935,Выбросы углекислого газа на единицу добавленной стоимости производства
2021,0.196,Выбросы углекислого газа на единицу добавленной стоимости производства
2022,0.1673,Выбросы углекислого газа на единицу добавленной стоимости производства
