Year,Value,GeoCode,UNIT_MEASURE
2015,38.5,,На 100 000 живорождений
2016,30.3,,На 100 000 живорождений
2017,31.2,,На 100 000 живорождений
2018,29.8,,На 100 000 живорождений
2019,24.8,,На 100 000 живорождений
2020,42.4,,На 100 000 живорождений
2021,37.1,,На 100 000 живорождений
2022,28.1,,На 100 000 живорождений
2023,26.0,,На 100 000 живорождений
2024,25.7,,На 100 000 живорождений
