Year,Value,SERIES
2012,2.984,Доля должностей в государственных учреждениях: на политических должностях
2013,4.897724,Доля должностей в государственных учреждениях: на политических должностях
2014,3.126344,Доля должностей в государственных учреждениях: на политических должностях
2015,4.424534,Доля должностей в государственных учреждениях: на политических должностях
2016,4.539295,Доля должностей в государственных учреждениях: на политических должностях
2017,1.571123,Доля должностей в государственных учреждениях: на политических должностях
2018,1.319706,Доля должностей в государственных учреждениях: на политических должностях
2019,1.2,Доля должностей в государственных учреждениях: на политических должностях
2020,1.2,Доля должностей в государственных учреждениях: на политических должностях
2021,2.6,Доля должностей в государственных учреждениях: на политических должностях
2012,2.446991,Доля должностей в государственных учреждениях: на специальных должностях
2013,1.331029,Доля должностей в государственных учреждениях: на специальных должностях
2014,0.860462,Доля должностей в государственных учреждениях: на специальных должностях
2015,2.195675,Доля должностей в государственных учреждениях: на специальных должностях
2016,2.647922,Доля должностей в государственных учреждениях: на специальных должностях
2017,2.66922,Доля должностей в государственных учреждениях: на специальных должностях
2018,2.594485,Доля должностей в государственных учреждениях: на специальных должностях
2019,3.3,Доля должностей в государственных учреждениях: на специальных должностях
2020,3.3,Доля должностей в государственных учреждениях: на специальных должностях
2021,3.0,Доля должностей в государственных учреждениях: на специальных должностях
2012,94.569008,Доля должностей в государственных учреждениях: на административных должностях
2013,93.771247,Доля должностей в государственных учреждениях: на административных должностях
2014,96.013194,Доля должностей в государственных учреждениях: на административных должностях
2015,93.379791,Доля должностей в государственных учреждениях: на административных должностях
2016,92.812782,Доля должностей в государственных учреждениях: на административных должностях
2017,95.759658,Доля должностей в государственных учреждениях: на административных должностях
2018,96.085809,Доля должностей в государственных учреждениях: на административных должностях
2019,95.5,Доля должностей в государственных учреждениях: на административных должностях
2020,95.5,Доля должностей в государственных учреждениях: на административных должностях
2021,94.4,Доля должностей в государственных учреждениях: на административных должностях
